N	2gram	Potebnia_M_3	Tvorches
1	и в	30	21
2	как бы	3	17
3	в то	10	15
4	в его	4	13
5	то же	23	13
6	что в	17	12
7	как и	10	12
8	же время	5	12
9	то есть	34	12
10	том что	18	11
11	все это	4	10
12	как в	10	8
13	он не	4	8
14	то что	18	8
15	во многом	2	7
16	у него	2	7
17	в свою	3	7
18	в том	32	7
19	тем самым	7	7
20	при этом	3	7
21	не только	21	7
22	и не	15	7
23	и на	3	7
24	что он	6	6
25	и все	3	6
26	не менее	5	6
27	для него	9	6
28	в котором	4	6
29	а в	12	6
30	и его	4	6
31	в этом	10	6
32	о том	2	6
33	вовсе не	7	5
34	а не	15	5
35	но это	6	5
36	может быть	28	5
37	в этой	2	5
38	все же	2	5
39	таким образом	14	5
40	потому что	46	5
41	только в	21	5
42	в человеке	3	4
43	в своем	5	4
44	та же	2	4
45	человека и	5	4
46	прежде всего	3	4
47	и как	5	4
48	в целом	3	4
49	одной из	2	4
50	один из	4	4
51	в своей	2	4
52	мысли и	2	4
53	не может	6	4
54	и от	4	4
55	не существует	3	3
56	место в	3	3
57	уже в	5	3
58	с другой	7	3
59	что все	3	3
60	в каждом	3	3
61	это в	2	3
62	с ним	6	3
63	что человек	2	3
64	сливается с	2	3
65	это и	2	3
66	что я	5	3
67	но не	7	3
68	на его	2	3
69	в самом	8	3
70	той же	2	3
71	даже в	2	3
72	в нем	9	3
73	и т	5	3
74	жизни и	2	3
75	время в	3	3
76	но и	19	3
77	в их	2	3
78	уже не	6	3
79	там же	6	3
80	он говорит	2	3
81	того что	18	3
82	и даже	2	3
83	и по	4	3
84	для человека	4	3
85	так же	3	3
86	в которой	3	3
87	и с	2	3
88	в виде	2	3
89	далеко не	4	3
90	так как	13	3
91	я и	3	3
92	перед нами	2	2
93	а как	2	2
94	зависит от	6	2
95	и та	2	2
96	эти слова	2	2
97	не столько	2	2
98	по крайней	5	2
99	точно так	12	2
100	к этому	3	2
101	есть не	7	2
102	можно сказать	3	2
103	что и	13	2
104	крайней мере	5	2
105	об этом	2	2
106	так что	7	2
107	не в	15	2
108	быть может	3	2
109	между людьми	2	2
110	мысль о	5	2
111	из них	6	2
112	действительности и	3	2
113	к тому	7	2
114	только на	3	2
115	в ней	8	2
116	же и	3	2
117	к ней	5	2
118	из себя	2	2
119	себе не	4	2
120	был бы	2	2
121	и тем	5	2
122	тем не	3	2
123	не будет	3	2
124	вместе с	12	2
125	так и	11	2
126	вслед за	3	2
127	что для	4	2
128	именно в	3	2
129	что она	3	2
130	но только	2	2
131	в одно	3	2
132	самом деле	2	2
133	но без	2	2
134	что не	8	2
135	и наконец	2	2
136	и притом	2	2
137	только что	8	2
138	что как	2	2
139	же с	6	2
140	отказаться от	2	2
141	или в	3	2
142	людей и	2	2
143	сказать что	5	2
144	в первом	3	2
145	могут быть	3	2
146	в себе	16	2
147	т п	2	2
148	не знает	3	2
149	в один	4	2
150	человек может	2	2
151	так сказать	2	2
152	в чем	3	2
153	с каким	2	2
154	на деле	5	2
155	не то	3	2
156	нет ни	2	2
