N	2gram	Bakhtin_Pr_4	VLabPisa
1	таким образом	4	27
2	в этом	16	26
3	и в	46	25
4	не только	14	22
5	во сне	2	21
6	может быть	23	21
7	хотя бы	2	20
8	и не	27	19
9	не может	19	17
10	в его	9	15
11	в процессе	4	14
12	прежде всего	9	13
13	в том	9	13
14	все это	6	12
15	с другой	3	11
16	не могут	3	10
17	о том	5	10
18	в художественном	2	10
19	об этом	2	9
20	что в	4	9
21	для него	2	9
22	но и	12	9
23	то же	6	9
24	все эти	4	8
25	в своем	3	8
26	другой стороны	3	8
27	могут быть	2	8
28	из этих	3	7
29	как и	12	7
30	том что	4	7
31	было бы	3	7
32	отношению к	5	7
33	во всех	5	7
34	вместе с	2	7
35	по отношению	5	7
36	не было	2	7
37	а не	11	7
38	у него	5	6
39	это не	5	6
40	в себе	7	6
41	то что	4	6
42	более или	3	6
43	том же	4	6
44	в нем	17	6
45	так и	4	6
46	или менее	3	6
47	бы и	2	6
48	и его	6	6
49	их в	3	6
50	между тем	2	6
51	в то	5	6
52	в результате	2	5
53	же время	5	5
54	все же	4	5
55	и при	3	5
56	в пределах	10	5
57	одним из	3	5
58	как бы	19	5
59	в их	4	5
60	приводит к	4	5
61	сказать что	2	5
62	только в	6	5
63	не в	10	5
64	к тому	2	4
65	в единстве	3	4
66	никогда не	6	4
67	перед нами	12	4
68	в одном	11	4
69	что он	6	4
70	с его	5	4
71	можно сказать	4	4
72	в романе	6	4
73	одна из	2	4
74	в своей	3	4
75	в самом	9	4
76	когда он	2	4
77	вот как	2	4
78	образов и	2	4
79	как раз	7	4
80	в этой	3	4
81	и к	9	3
82	и как	2	3
83	или меньшей	2	3
84	в конце	3	3
85	человека и	3	3
86	одном из	2	3
87	у нас	2	3
88	по существу	3	3
89	большей или	2	3
90	или в	8	3
91	с этим	2	3
92	например в	4	3
93	у тургенева	4	3
94	далеко не	3	3
95	и он	6	3
96	в виду	4	3
97	в котором	5	3
98	нет и	2	3
99	что и	3	3
100	жизни и	5	3
101	него в	3	3
102	и их	3	3
103	этот вопрос	2	3
104	и по	2	3
105	при всем	2	3
106	так же	3	3
107	в слове	3	3
108	в которых	2	3
109	никак не	3	3
110	точки зрения	11	3
111	она не	3	3
112	бы в	3	3
113	например у	2	2
114	не менее	2	2
115	том числе	4	2
116	вне его	2	2
117	он сам	2	2
118	в каждом	6	2
119	отличается от	3	2
120	у пушкина	2	2
121	в жизни	5	2
122	с нею	2	2
123	вовсе не	9	2
124	а как	2	2
125	из своих	2	2
126	по себе	7	2
127	стороны и	2	2
128	или иной	2	2
129	от них	2	2
130	остановимся на	2	2
131	до сих	8	2
132	но не	4	2
133	но для	3	2
134	в различных	3	2
135	числе и	3	2
136	всех его	3	2
137	смысле слова	2	2
138	и слова	2	2
139	в системе	2	2
140	еще не	7	2
141	в большей	2	2
142	он и	4	2
143	в общем	2	2
144	то это	3	2
145	если бы	3	2
146	мы имеем	3	2
147	эти явления	3	2
148	меньшей степени	2	2
149	к ним	4	2
150	оно является	2	2
151	и даже	3	2
152	если в	2	2
153	явления в	2	2
154	слова не	2	2
155	сих пор	8	2
156	бы не	2	2
157	а в	2	2
158	и через	2	2
159	еще и	4	2
160	они должны	3	2
161	но с	2	2
162	достоевского и	2	2
163	что такое	2	2
164	между ними	10	2
165	и для	3	2
166	можно было	2	2
167	также и	3	2
168	во всяком	2	2
169	хотя и	6	2
170	лишь в	2	2
171	он не	4	2
172	они не	2	2
173	в другом	2	2
174	ту же	2	2
175	единого и	2	2
176	что мы	2	2
177	как он	3	2
178	которые в	2	2
179	же как	2	2
180	могло бы	2	2
181	но в	6	2
