N	2gram	Nazirov_Tv_2	Marksizm
1	может быть	8	28
2	и в	20	19
3	как бы	11	19
4	и не	9	19
5	не может	7	18
6	в процессе	2	18
7	то же	7	16
8	и его	9	16
9	в этом	8	15
10	таким образом	10	14
11	так сказать	2	14
12	не только	13	13
13	в нем	3	11
14	если бы	4	11
15	вовсе не	2	11
16	не в	4	10
17	но и	8	10
18	том что	4	10
19	так и	6	10
20	для него	3	9
21	при этом	8	9
22	в основе	2	9
23	как и	6	9
24	самом деле	2	9
25	а не	6	9
26	отнюдь не	4	8
27	же время	7	8
28	не является	3	8
29	по отношению	3	8
30	в то	10	8
31	отношению к	3	8
32	только в	2	8
33	никогда не	11	7
34	в том	8	7
35	его в	3	7
36	но в	4	7
37	прежде всего	8	7
38	одна из	3	7
39	в таком	3	7
40	в самом	3	6
41	между тем	3	6
42	более того	2	6
43	в их	3	5
44	так же	5	5
45	и на	5	5
46	к этому	3	5
47	в его	10	5
48	все же	5	5
49	в душе	4	4
50	это не	7	4
51	то что	3	4
52	с ними	2	4
53	что он	6	4
54	в основном	6	4
55	связь с	2	4
56	и ее	2	4
57	в себе	3	4
58	ничего не	4	4
59	с другой	2	3
60	и от	4	3
61	в этой	5	3
62	в котором	3	3
63	его и	2	3
64	а в	4	3
65	все эти	4	3
66	не было	2	3
67	в истории	2	3
68	но ведь	2	3
69	о том	5	3
70	так как	3	3
71	в устах	2	3
72	таком случае	2	3
73	и лишь	2	3
74	в ее	2	3
75	у нас	2	3
76	до сих	3	3
77	еще не	5	3
78	одной из	3	3
79	он не	3	3
80	в своей	6	3
81	в отличие	2	3
82	с другими	2	3
83	во всяком	2	3
84	могут быть	2	3
85	и это	3	3
86	отличие от	2	3
87	сих пор	3	3
88	место в	3	2
89	уже в	2	2
90	все время	2	2
91	что в	7	2
92	точку зрения	2	2
93	в одной	3	2
94	тому же	2	2
95	что они	4	2
96	как о	2	2
97	не так	2	2
98	и у	2	2
99	одним из	3	2
100	всяком случае	2	2
101	именно в	6	2
102	и даже	5	2
103	друг друга	2	2
104	рядом с	2	2
105	и с	8	2
106	по крайней	2	2
107	xix века	7	2
108	в начале	3	2
109	то есть	5	2
110	у него	6	2
111	но не	5	2
112	и потому	4	2
113	крайней мере	2	2
114	себя в	2	2
115	приводит к	2	2
116	и тогда	2	2
117	бы не	2	2
118	а с	3	2
119	сводится к	2	2
120	что не	3	2
121	и он	2	2
122	мы не	4	2
123	тем что	3	2
124	в виде	2	2
125	только с	2	2
126	вместе с	3	2
