N	2gram	Bakhtin_Fr_1	KulturaY
1	в том	16	30
2	и в	65	24
3	потому что	5	23
4	том что	6	21
5	что в	3	17
6	и пр	5	15
7	в этом	15	14
8	точки зрения	7	14
9	может быть	6	13
10	все же	6	12
11	в его	9	12
12	и не	22	12
13	не в	4	11
14	только в	7	11
15	вовсе не	18	10
16	в самом	4	10
17	не только	10	10
18	то что	3	9
19	прежде всего	11	9
20	самом деле	3	9
21	того что	2	9
22	с точки	3	9
23	о том	2	9
24	так как	6	9
25	уже не	3	8
26	как раз	3	8
27	в них	5	7
28	с другой	3	7
29	связи с	4	7
30	как бы	22	7
31	не может	3	7
32	это не	3	7
33	в области	7	7
34	так и	10	7
35	что он	3	6
36	при этом	6	6
37	в ней	6	6
38	но и	10	6
39	все это	9	6
40	все эти	10	6
41	еще и	5	5
42	к тому	2	5
43	но не	2	5
44	еще не	6	5
45	что не	2	5
46	например в	2	5
47	этом отношении	3	5
48	в виду	3	5
49	не просто	3	5
50	в той	5	5
51	и вовсе	3	5
52	и его	10	5
53	рядом с	5	5
54	между тем	5	5
55	речи и	2	5
56	xix века	5	5
57	так сказать	4	5
58	с ним	3	5
59	и с	3	5
60	с его	5	4
61	в частности	5	4
62	в этих	2	4
63	к себе	2	4
64	и потому	10	4
65	в нем	13	4
66	в тех	3	4
67	же в	2	4
68	есть в	5	4
69	из них	4	4
70	в таких	2	4
71	в целом	2	4
72	сих пор	4	4
73	до сих	4	4
74	как в	5	4
75	в самой	3	4
76	роль в	2	4
77	и на	11	4
78	из этих	2	4
79	в духе	8	3
80	его к	2	3
81	или иной	5	3
82	можно сказать	2	3
83	в этой	4	3
84	в общем	4	3
85	в сущности	16	3
86	даже в	3	3
87	на его	2	3
88	так называемые	2	3
89	в своем	8	3
90	в особенности	2	3
91	в их	4	3
92	в системе	3	3
93	и даже	8	3
94	и он	2	3
95	в таком	2	3
96	несмотря на	2	3
97	и здесь	3	3
98	с их	5	3
99	хотя и	2	3
100	даже и	3	3
101	в себе	3	3
102	в одном	5	3
103	никогда не	6	2
104	превращается в	5	2
105	не является	3	2
106	форм в	2	2
107	и все	5	2
108	но с	2	2
109	на самом	6	2
110	значение и	2	2
111	не могут	3	2
112	для нас	4	2
113	как и	5	2
114	но все	3	2
115	можно говорить	3	2
116	в большинстве	2	2
117	в это	2	2
118	слов о	2	2
119	между прочим	2	2
120	в своей	5	2
121	свое время	2	2
122	одним из	2	2
123	в свое	2	2
124	о нем	3	2
125	к жизни	2	2
126	прав он	2	2
127	в состоянии	3	2
128	и именно	2	2
129	так например	2	2
130	он не	2	2
131	и для	2	2
132	литературе и	2	2
133	на этот	2	2
134	между ними	4	2
135	во многих	2	2
136	или в	2	2
137	которое в	2	2
138	в более	3	2
139	одно из	6	2
140	и еще	4	2
141	здесь только	2	2
142	до конца	2	2
143	ничего не	3	2
144	связанная с	2	2
145	но в	14	2
146	это было	2	2
