N	2gram	Losev_Prob_5	UchenyiS
1	и в	30	14
2	а не	5	10
3	не только	18	10
4	и не	12	8
5	прежде всего	6	8
6	то что	18	7
7	в этом	17	7
8	не может	5	7
9	может быть	7	6
10	хотя бы	2	5
11	художественного творчества	8	5
12	и только	2	5
13	то же	2	5
14	но и	13	4
15	в этой	10	4
16	конечно не	2	4
17	с другой	6	4
18	но в	9	3
19	как и	7	3
20	и то	5	3
21	все же	9	3
22	в своей	22	3
23	в частности	4	3
24	бы то	2	3
25	то ни	2	3
26	другой стороны	6	3
27	это не	2	3
28	в то	4	3
29	было бы	4	3
30	в области	2	3
31	у нас	7	3
32	тех или	2	2
33	форму и	2	2
34	том что	17	2
35	но не	7	2
36	в том	12	2
37	не все	2	2
38	по существу	2	2
39	мы не	2	2
40	крайней мере	4	2
41	не в	7	2
42	и для	6	2
43	мы и	2	2
44	этом смысле	3	2
45	нас в	4	2
46	это уже	2	2
47	только в	9	2
48	и с	5	2
49	но даже	4	2
50	тем что	2	2
51	сих пор	2	2
52	даже и	4	2
53	что он	7	2
54	и у	5	2
55	в себе	4	2
56	как раз	5	2
57	до сих	2	2
58	в конце	8	2
59	если не	4	2
60	в самом	5	2
61	не могут	2	2
62	или иных	2	2
63	по себе	2	2
64	а его	4	2
65	ничего не	2	2
66	самом деле	2	2
67	по крайней	4	2
68	и является	2	2
69	что и	6	2
70	в его	12	2
71	между тем	2	2
72	конце концов	6	2
73	таким образом	13	2
74	же не	4	2
