N	2gram	Nazirov_Vr_1	formyVre
1	и в	8	46
2	в этом	8	22
3	в романе	6	13
4	и его	3	12
5	не только	9	11
6	во время	2	10
7	в том	3	10
8	как бы	4	10
9	точки зрения	2	10
10	но в	6	10
11	у него	5	9
12	вместе с	2	9
13	но и	7	9
14	и не	5	9
15	в связи	3	8
16	связи с	3	8
17	как и	6	8
18	в его	3	8
19	то же	5	8
20	с точки	2	8
21	из них	2	8
22	в них	2	7
23	может быть	4	7
24	то что	7	7
25	никогда не	2	6
26	и во	3	6
27	и все	7	6
28	при этом	4	6
29	еще не	2	6
30	его в	3	6
31	все же	6	6
32	все это	4	6
33	человека в	3	6
34	и с	6	6
35	в своем	3	5
36	в то	5	5
37	он не	3	5
38	в нем	6	5
39	что в	7	5
40	и у	3	5
41	место в	2	4
42	уже в	4	4
43	отнюдь не	2	4
44	же время	5	4
45	с ним	4	4
46	же в	2	4
47	том что	3	4
48	том же	2	4
49	в котором	6	4
50	в мире	2	4
51	отношения к	2	4
52	и он	2	4
53	их в	2	4
54	к себе	2	4
55	в себе	2	4
56	в истории	4	4
57	о том	4	4
58	не было	5	3
59	о чем	2	3
60	к этому	3	3
61	на первый	2	3
62	что он	4	3
63	и как	3	3
64	тем более	2	3
65	для него	2	3
66	в это	2	3
67	а также	2	3
68	в этот	3	3
69	отношение к	2	3
70	целый ряд	4	3
71	таким образом	2	3
72	уже не	2	3
73	и даже	6	3
74	а в	2	3
75	на основе	2	3
76	тем что	3	3
77	в виду	4	3
78	в роман	2	2
79	это не	4	2
80	он был	3	2
81	не мог	2	2
82	в этой	2	2
83	наряду с	3	2
84	и о	3	2
85	к ним	2	2
86	после этого	2	2
87	и т.п	2	2
88	не может	2	2
89	в той	2	2
90	так же	4	2
91	рядом с	2	2
92	но это	2	2
93	но он	3	2
94	далеко не	3	2
95	в конце	3	2
96	и это	2	2
97	и детей	4	2
98	в париже	3	2
