N	2gram	Bakhtin_Fr_6	Tragedij
1	и в	41	18
2	в романе	2	10
3	в году	6	9
4	в этом	12	9
5	не только	10	8
6	он сам	3	7
7	и не	3	7
8	и на	9	7
9	и с	16	7
10	может быть	2	7
11	как бы	7	7
12	в образе	6	6
13	что он	6	6
14	и его	13	6
15	же время	5	6
16	у него	7	6
17	но в	8	6
18	все же	4	5
19	что это	5	5
20	так и	5	5
21	не может	4	5
22	то же	5	5
23	в дальнейшем	2	5
24	как и	7	5
25	в то	6	5
26	но и	13	4
27	то что	10	4
28	что в	7	4
29	все это	11	4
30	прежде всего	10	4
31	и все	9	4
32	в нем	16	4
33	и даже	4	4
34	так же	5	4
35	том что	7	4
36	но это	3	4
37	в этой	8	4
38	и что	5	4
39	в себе	5	4
40	этот образ	7	4
41	уже в	4	3
42	один из	6	3
43	что образ	5	3
44	в своем	5	3
45	никто не	2	3
46	в конце	2	3
47	как в	4	3
48	все эти	11	3
49	и он	5	3
50	и как	4	3
51	к нему	3	3
52	в его	7	3
53	при этом	3	3
54	и сам	3	3
55	как это	2	3
56	с ним	4	3
57	то есть	24	3
58	еще в	5	2
59	из самых	2	2
60	перед нами	3	2
61	и до	7	2
62	не могут	2	2
63	не был	2	2
64	но они	4	2
65	в частности	2	2
66	состоит из	2	2
67	данном случае	2	2
68	что все	2	2
69	если б	2	2
70	но эта	2	2
71	с его	5	2
72	он был	4	2
73	в ее	5	2
74	в том	2	2
75	до конца	2	2
76	так что	2	2
77	не в	4	2
78	в данном	3	2
79	и то	2	2
80	потому что	3	2
81	в первом	3	2
82	тем что	5	2
83	как у	3	2
84	о том	9	2
85	в самом	10	2
86	это уже	2	2
87	не мог	3	2
88	он не	2	2
89	в одном	5	2
90	никогда не	8	2
