N	2gram	Propp_Isto_5	Psycholo
1	в том	6	37
2	и в	25	32
3	и что	8	22
4	том что	8	21
5	то что	7	21
6	таким образом	9	21
7	потому что	7	21
8	что в	8	20
9	так же	5	18
10	может быть	17	18
11	что и	6	17
12	не может	6	17
13	точки зрения	2	17
14	самом деле	2	16
15	того чтобы	3	14
16	что он	22	13
17	то же	4	13
18	для того	3	13
19	в этом	10	13
20	по себе	2	12
21	не только	13	12
22	так как	11	12
23	на то	2	11
24	с тем	8	11
25	при помощи	7	10
26	как и	7	10
27	и т	20	10
28	когда он	2	10
29	но и	13	10
30	и не	11	10
31	никогда не	3	9
32	что все	4	9
33	что при	3	9
34	как в	6	9
35	тем что	10	9
36	что это	5	8
37	не менее	4	8
38	не в	6	8
39	того что	2	8
40	ясно что	5	7
41	мы знаем	8	7
42	и как	3	7
43	такой же	2	7
44	а не	2	7
45	все эти	8	7
46	совершенно ясно	4	7
47	и его	9	7
48	сказать что	2	7
49	только в	7	7
50	в этой	3	6
51	и мы	2	6
52	и из	3	6
53	он не	4	6
54	как бы	2	6
55	формы и	2	6
56	о том	7	6
57	если бы	2	6
58	что у	4	5
59	что его	3	5
60	в ней	5	5
61	до сих	2	5
62	сих пор	2	5
63	все это	4	5
64	и на	8	5
65	в то	3	5
66	же как	4	4
67	с этой	2	4
68	тем не	4	4
69	а на	2	4
70	и сам	2	4
71	несмотря на	2	4
72	совершенно не	2	4
73	и по	2	4
74	и тем	4	4
75	в нем	7	4
76	все же	10	4
77	из них	2	4
78	жизни и	2	4
79	наряду с	4	4
80	данном случае	2	4
81	а в	3	4
82	и все	3	4
83	мы имеем	14	4
84	мы видим	8	4
85	и для	2	4
86	в данном	3	4
87	и с	3	4
88	знаем что	6	4
89	могут быть	6	4
90	с этим	5	4
91	в целом	3	4
92	ту же	2	4
93	и это	4	4
94	ничего не	2	4
95	того как	4	4
96	в частности	7	3
97	к которым	2	3
98	но он	2	3
99	с другой	9	3
100	не как	4	3
101	представление о	17	3
102	показывает что	5	3
103	видим что	5	3
104	по существу	2	3
105	об этом	2	3
106	так что	2	3
107	это значит	2	3
108	в свою	3	3
109	на тех	2	3
110	например в	5	3
111	в своей	2	3
112	один из	2	3
113	то это	3	3
114	во всех	2	3
115	том чтобы	2	3
116	на этом	3	3
117	и других	2	3
118	образом в	2	3
119	и он	6	3
120	в которых	3	3
121	во всем	2	3
122	мы должны	4	3
123	или же	3	3
124	тогда когда	2	3
125	мы не	5	3
126	значит что	2	3
127	это было	2	3
128	мы можем	2	3
129	можно показать	2	2
130	мы опять	3	2
131	но так	2	2
132	но когда	3	2
133	это не	6	2
134	с другими	4	2
135	во сне	2	2
136	и здесь	7	2
137	говорит о	2	2
138	такое же	2	2
139	и при	2	2
140	еще не	8	2
141	но не	5	2
142	очевидно что	2	2
143	того же	2	2
144	она не	2	2
145	из которых	2	2
146	вовсе не	2	2
147	к нему	3	2
148	превращение в	2	2
149	в его	12	2
150	из себя	4	2
151	в него	5	2
152	если в	3	2
153	в ее	4	2
154	том как	2	2
155	как можно	2	2
156	это делается	4	2
157	в этих	6	2
158	для нас	5	2
159	на том	3	2
160	вместе с	22	2
161	на него	8	2
162	так в	2	2
163	другой стороны	8	2
164	в особенности	3	2
165	показывают что	3	2
166	т д	18	2
167	после того	3	2
168	роль в	2	2
169	здесь мы	5	2
170	именно на	2	2
171	ли он	2	2
172	в других	2	2
173	что этот	2	2
174	но это	7	2
175	их в	3	2
176	и таким	2	2
177	указывают на	2	2
178	и вообще	3	2
179	в свое	2	2
180	состоит из	3	2
181	в свете	3	2
182	это происходит	2	2
183	там где	6	2
184	не потому	2	2
185	в которой	4	2
186	через реку	3	2
