N	2gram	Berdyaev_O_1	Literetu
1	не только	11	24
2	но и	13	17
3	а не	11	16
4	в том	5	16
5	том что	2	14
6	может быть	11	13
7	и не	13	12
8	в этом	12	12
9	прежде всего	9	11
10	в своем	2	11
11	то что	5	10
12	в русской	3	10
13	не в	11	8
14	и в	19	8
15	в его	7	7
16	как бы	3	7
17	в себе	3	7
18	как и	6	6
19	того что	3	6
20	с его	4	5
21	что он	3	5
22	не может	4	5
23	уже в	2	5
24	это не	3	4
25	еще не	3	4
26	все же	2	4
27	в своей	2	4
28	так и	2	4
29	никогда не	9	4
30	лишь в	7	4
31	и его	4	4
32	в своих	3	4
33	в этой	5	4
34	не было	9	3
35	в душе	2	3
36	что в	4	3
37	и есть	3	3
38	в самом	5	3
39	у него	22	3
40	всего в	2	3
41	а в	5	3
42	потому что	9	3
43	одно из	2	3
44	но в	2	3
45	его в	2	3
46	во имя	3	2
47	с чем	2	2
48	у достоевского	19	2
49	ничего кроме	2	2
50	их не	2	2
51	и нет	2	2
52	человека и	10	2
53	же это	2	2
54	различие между	3	2
55	в другом	2	2
56	для него	5	2
57	было бы	3	2
58	в нем	10	2
59	не есть	2	2
60	человеческого духа	3	2
61	все эти	4	2
62	что не	4	2
63	хотя бы	3	2
64	что для	2	2
65	от самого	2	2
66	и то	2	2
67	тем что	2	2
68	могут быть	3	2
69	о том	3	2
70	нет ничего	7	2
71	в россии	5	2
