N	2gram	Vinokur_Vv_1	Dialekti
1	не есть	4	40
2	и не	13	30
3	по себе	9	25
4	т е	38	25
5	и т	43	21
6	т д	37	19
7	и в	27	18
8	ничего не	2	17
9	может быть	24	17
10	точки зрения	7	17
11	в нем	13	16
12	и есть	3	16
13	так что	5	15
14	не имеет	4	15
15	а не	3	14
16	потому что	14	14
17	что в	11	13
18	то что	17	13
19	не только	21	13
20	и даже	5	13
21	если бы	2	12
22	было бы	5	12
23	и что	4	12
24	с точки	2	12
25	в этом	34	12
26	не может	13	12
27	что это	3	11
28	что он	4	11
29	как бы	5	11
30	учение о	2	11
31	все это	6	11
32	в себе	4	11
33	так как	13	11
34	прежде всего	8	10
35	несмотря на	2	10
36	то же	8	10
37	что такое	10	10
38	сказать что	5	10
39	никогда не	3	9
40	это не	8	9
41	в том	31	9
42	это есть	2	9
43	том что	26	9
44	и то	5	9
45	ясно что	9	8
46	сама по	3	8
47	к нему	2	8
48	не существует	2	7
49	не просто	4	7
50	вовсе не	6	7
51	и как	9	7
52	но и	5	7
53	что она	3	7
54	что не	5	7
55	также и	16	7
56	как она	4	7
57	с другой	8	6
58	можно сказать	3	6
59	да и	4	6
60	хотя бы	5	6
61	ни с	2	6
62	и вот	3	6
63	не в	8	6
64	в то	5	6
65	в чем	4	6
66	но в	10	6
67	он сам	3	5
68	науки и	2	5
69	в этих	3	5
70	в своем	3	5
71	говорит о	3	5
72	в дальнейшем	2	5
73	есть и	4	5
74	она есть	5	5
75	но если	3	5
76	не с	2	5
77	все же	8	5
78	отношение к	3	5
79	в отношении	2	5
80	в особенности	4	5
81	что оно	2	5
82	есть только	2	5
83	а в	5	5
84	само по	3	5
85	можно было	7	5
86	и с	2	5
87	говорить о	3	5
88	об отношении	2	5
89	в виду	4	5
90	нисколько не	3	4
91	по крайней	4	4
92	в конце	3	4
93	к тому	4	4
94	во всяком	3	4
95	об этом	5	4
96	крайней мере	4	4
97	но не	7	4
98	же время	5	4
99	хотя и	3	4
100	в котором	4	4
101	то это	3	4
102	быть и	2	4
103	так же	3	4
104	другой стороны	5	4
105	как раз	4	4
106	мы говорим	2	4
107	как мы	9	4
108	мы можем	2	4
109	и вообще	3	4
110	о том	15	4
111	как он	6	4
112	как это	5	4
113	тому что	2	3
114	в них	4	3
115	этом смысле	11	3
116	должна быть	2	3
117	стороны и	3	3
118	есть не	3	3
119	же это	2	3
120	что и	3	3
121	а только	8	3
122	чтобы понять	2	3
123	уже и	7	3
124	но что	3	3
125	отношении к	2	3
126	только с	3	3
127	в его	10	3
128	гораздо более	3	3
129	один из	6	3
130	жизни и	2	3
131	что же	3	3
132	мысли и	2	3
133	в их	11	3
134	только на	3	3
135	и науки	2	3
136	в самом	12	3
137	в разных	5	3
138	еще и	3	3
139	но все	3	3
140	но с	4	3
141	тех или	3	3
142	самом деле	6	3
143	только что	4	3
144	должно быть	2	3
145	конце концов	2	3
146	в данном	11	3
147	в ней	3	3
148	могут быть	4	3
149	даже и	3	3
150	нуждается в	2	3
151	только в	13	3
152	от этого	5	3
153	ни к	2	2
154	на этом	3	2
155	не менее	8	2
156	будет в	2	2
157	того что	12	2
158	же как	3	2
159	это может	2	2
160	бы и	2	2
161	по мере	4	2
162	именно в	8	2
163	но которая	2	2
164	в виде	4	2
165	в частности	3	2
166	в качестве	7	2
167	сравнению с	3	2
168	с этой	4	2
169	не как	3	2
170	из этих	5	2
171	точно так	2	2
172	наукой и	2	2
173	в каждом	4	2
174	к этому	3	2
175	науки то	2	2
176	вопрос о	8	2
177	быть в	4	2
178	со всей	3	2
179	и сейчас	2	2
180	о которых	2	2
181	что уже	3	2
182	как и	5	2
183	и при	2	2
184	лишь как	2	2
185	что именно	2	2
186	что если	2	2
187	что здесь	2	2
188	как о	4	2
189	не нужно	2	2
190	до сих	5	2
191	еще не	4	2
192	одной стороны	4	2
193	только как	6	2
194	для того	21	2
195	о чем	4	2
196	себе и	2	2
197	по сравнению	3	2
198	всяком случае	3	2
199	мог бы	2	2
200	тем более	2	2
201	но уже	2	2
202	из них	3	2
203	в своей	4	2
204	с ней	2	2
205	которое в	2	2
206	дело не	3	2
207	сих пор	5	2
208	со стороны	12	2
209	и тогда	3	2
210	для этого	3	2
211	что даже	2	2
212	как например	5	2
213	т п	5	2
214	иной раз	2	2
215	идет речь	2	2
216	с этим	2	2
217	этом отношении	3	2
218	с одной	4	2
219	все эти	3	2
220	мы имеем	3	2
221	можно только	2	2
222	из того	2	2
223	уже не	5	2
224	д но	5	2
225	этой стороны	2	2
226	и для	4	2
227	и совершенно	2	2
228	именно как	3	2
229	может оказаться	3	2
230	он и	2	2
231	в которых	6	2
232	но как	2	2
233	в другом	3	2
234	во всем	2	2
235	и это	6	2
236	если это	2	2
