N	3gram	Trubetskoy_1	Psycholo
1	в том что	15	9
2	на то что	7	8
3	не может быть	3	8
4	в самом деле	5	7
5	о том что	4	7
6	во всяком случае	2	6
7	заключается в том	2	6
8	в то время	2	5
9	с одной стороны	2	5
10	с другой стороны	4	5
11	для того чтобы	7	5
12	так же как	3	4
13	как и в	2	4
14	то что у	2	3
15	не в состоянии	2	3
16	в конце концов	4	3
17	до сих пор	8	3
18	несмотря на то	2	2
19	более или менее	7	2
20	с точки зрения	8	2
21	тем не менее	4	2
22	в целом ряде	3	2
23	в настоящее время	2	2
24	в том и	2	2
25	вместе с тем	2	2
26	в том случае	4	2
27	на самом деле	7	2
