N	3gram	Medvedev_F_3	Problemy
1	в то же	7	12
2	то же время	7	12
3	на самом деле	12	10
4	и т п	5	6
5	не может быть	14	6
6	во всяком случае	6	5
7	и в то	2	5
8	по отношению к	3	5
9	в этом смысле	2	4
10	с точки зрения	14	4
11	то ни было	4	4
12	бы то ни	4	4
13	в самом деле	4	3
14	слова и его	2	3
15	в конце концов	2	3
16	с другой стороны	5	3
17	в высшей степени	2	3
18	смысле этого слова	2	2
19	все без исключения	3	2
20	мы увидим что	2	2
21	мы без труда	2	2
22	так и в	2	2
23	а вовсе не	4	2
24	и т д	6	2
25	в большинстве случаев	4	2
26	в пределах одного	2	2
27	тем не менее	2	2
28	в отличие от	2	2
29	и не может	4	2
30	как мы видели	2	2
31	может войти в	3	2
32	именно потому что	2	2
33	вместе с тем	3	2
34	как мы знаем	4	2
35	а не в	3	2
36	подобно тому как	4	2
37	как и все	2	2
