N	2gram	Vygotskiy__2	DiskursI
1	в качестве	4	34
2	не только	15	28
3	в том	33	23
4	а не	3	22
5	том что	27	19
6	может быть	9	17
7	представляет собой	2	17
8	и в	15	16
9	как и	6	16
10	в этом	19	15
11	но и	10	14
12	при этом	3	13
13	и т.п	7	12
14	прежде всего	4	11
15	но не	3	11
16	и не	7	11
17	по своей	6	11
18	с другой	6	10
19	как в	4	10
20	в частности	6	9
21	состоит в	3	9
22	отношению к	5	9
23	одной стороны	7	9
24	по отношению	6	9
25	не может	9	9
26	с одной	7	9
27	а также	2	8
28	отнюдь не	2	8
29	так и	8	8
30	о том	9	8
31	но в	6	8
32	в основе	3	7
33	в его	2	7
34	со стороны	3	7
35	то же	5	7
36	в себе	2	7
37	только в	4	7
38	не в	8	7
39	в своем	9	6
40	и как	2	6
41	к тому	7	5
42	или иной	2	5
43	можно сказать	2	5
44	в силу	2	5
45	как бы	7	5
46	в котором	2	5
47	в своей	4	5
48	то что	20	5
49	во всех	2	5
50	в процессе	11	5
51	в отличие	3	5
52	а с	4	5
53	а в	4	5
54	в себя	2	5
55	в их	2	5
56	отличие от	3	5
57	в данном	3	5
58	с его	4	4
59	что в	14	4
60	не является	9	4
61	в них	4	4
62	для себя	3	4
63	и к	6	4
64	что он	12	4
65	для него	3	4
66	в истории	6	4
67	в целом	10	4
68	одной из	3	4
69	связи с	9	4
70	лишь в	3	4
71	в которых	3	4
72	потому что	7	4
73	могут быть	2	4
74	и т.д	12	4
75	перед нами	2	3
76	для обозначения	2	3
77	того же	3	3
78	столь же	2	3
79	это не	5	3
80	как уже	2	3
81	по себе	7	3
82	что и	2	3
83	имеет свою	2	3
84	с этим	3	3
85	в самом	11	3
86	той или	2	3
87	хотя бы	4	3
88	все же	4	3
89	из них	3	3
90	научного мышления	2	3
91	таким образом	14	3
92	именно в	2	3
93	заключается в	8	3
94	того что	17	3
95	и даже	5	3
96	сказать что	6	3
97	тем что	2	3
98	точки зрения	26	3
99	тому как	2	3
100	также и	2	3
101	и составляет	2	3
102	понятие о	2	3
103	в противоположность	2	2
104	из двух	3	2
105	однако и	2	2
106	и есть	2	2
107	никогда не	8	2
108	том числе	3	2
109	к себе	2	2
110	и все	3	2
111	в одном	2	2
112	к этому	4	2
113	стороны и	2	2
114	об этом	3	2
115	к его	2	2
116	самому себе	2	2
117	более или	2	2
118	числе и	3	2
119	указывает на	2	2
120	что с	5	2
121	в начале	4	2
122	в сущности	9	2
123	иначе говоря	2	2
124	и др	5	2
125	точка зрения	3	2
126	не могло	2	2
127	и тем	2	2
128	с ее	2	2
129	когда он	3	2
130	на том	2	2
131	или менее	2	2
132	что же	2	2
133	данном случае	3	2
134	приводит к	5	2
135	за пределы	2	2
136	целый ряд	2	2
137	языка и	3	2
138	ни чисто	2	2
139	уже в	5	2
140	как мы	6	2
141	речи как	3	2
142	и что	8	2
143	том чтобы	4	2
144	и по	3	2
145	и его	4	2
146	или в	3	2
147	не следует	2	2
148	во всяком	7	2
149	мы имеем	3	2
150	подобно тому	2	2
151	и ее	3	2
152	к которому	6	2
153	в другом	2	2
154	на протяжении	2	2
155	и вообще	2	2
156	же самое	2	2
157	в этой	6	2
158	внутренней речи	5	2
159	всей его	2	2
160	они не	3	2
161	заметить что	2	2
162	едва ли	7	2
163	в виду	6	2
