N	2gram	Losev_Prob_4	Formalny
1	и в	20	24
2	в его	3	23
3	прежде всего	11	22
4	и не	28	20
5	так и	10	18
6	не может	5	16
7	точки зрения	14	16
8	в этом	9	15
9	в нем	5	14
10	может быть	9	14
11	с точки	11	13
12	таким образом	8	13
13	и т	4	12
14	в своем	3	11
15	не менее	10	11
16	как и	6	11
17	в своей	4	11
18	вовсе не	21	10
19	и ее	4	10
20	то же	7	10
21	в ней	7	10
22	а не	7	10
23	и его	10	10
24	и потому	7	9
25	все это	9	9
26	в то	4	9
27	в ее	5	8
28	именно в	7	8
29	то что	15	8
30	как в	5	8
31	т д	3	8
32	и на	3	8
33	не в	13	8
34	и с	7	8
35	и от	6	7
36	не только	24	7
37	с ее	2	7
38	жизни и	5	7
39	но и	14	7
40	на самом	5	7
41	отнюдь не	10	6
42	и все	8	6
43	было бы	14	6
44	в том	20	6
45	в этой	4	6
46	более или	2	6
47	самом деле	3	6
48	в пределах	2	6
49	еще не	7	6
50	как бы	4	6
51	или менее	2	6
52	а в	4	6
53	все эти	16	6
54	художественной структуры	2	6
55	как это	3	6
56	хотя бы	7	5
57	по себе	11	5
58	в литературе	2	5
59	у нас	14	5
60	при этом	6	5
61	только на	2	5
62	во всех	4	5
63	в самом	2	5
64	как мы	3	5
65	с другой	7	5
66	но в	8	5
67	с его	2	4
68	независимо от	3	4
69	в частности	2	4
70	стороны и	2	4
71	с другими	3	4
72	и к	3	4
73	для этого	2	4
74	учение о	3	4
75	и может	2	4
76	если бы	8	4
77	конечно не	3	4
78	всяком случае	4	4
79	так же	5	4
80	в связи	3	4
81	что в	3	4
82	только и	5	4
83	друг друга	2	4
84	в которой	2	4
85	во всяком	8	4
86	в истории	3	4
87	как о	3	4
88	но не	5	3
89	в отношении	4	3
90	всех этих	6	3
91	связи с	3	3
92	перестает быть	2	3
93	в них	5	3
94	в жизни	3	3
95	на все	2	3
96	ясно что	7	3
97	или иного	3	3
98	что он	8	3
99	к тому	3	3
100	для него	3	3
101	это и	4	3
102	и как	3	3
103	но это	6	3
104	зависимости от	3	3
105	и непосредственно	2	3
106	ни на	3	3
107	со всеми	2	3
108	действительности и	5	3
109	он не	2	3
110	если он	2	3
111	все же	2	3
112	же в	4	3
113	каждой из	2	3
114	отличается от	4	3
115	не было	3	3
116	мы не	7	3
117	тем самым	4	3
118	и наконец	4	3
119	и даже	9	3
120	его в	2	3
121	жизнь и	4	3
122	в себе	12	3
123	произведения искусства	2	3
124	в художественном	4	3
125	здесь не	7	3
126	в области	3	3
127	того или	3	2
128	функций в	2	2
129	сама по	2	2
130	и более	3	2
131	с тем	4	2
132	в нашем	12	2
133	в зависимости	3	2
134	учения о	2	2
135	жизни в	2	2
136	сами по	2	2
137	глубоко и	3	2
138	это не	7	2
139	она является	2	2
140	с этим	4	2
141	в одном	4	2
142	мы ни	2	2
143	том чтобы	2	2
144	здесь в	5	2
145	а только	6	2
146	но эта	2	2
147	все время	2	2
148	все в	3	2
149	ни было	2	2
150	ни в	17	2
151	в самой	4	2
152	уже не	5	2
153	но все	3	2
154	тот или	2	2
155	если мы	5	2
156	не выходит	3	2
157	только в	23	2
158	и если	5	2
159	одной из	4	2
160	в новое	3	2
161	к ней	2	2
162	как раз	4	2
163	и является	3	2
164	только не	4	2
165	за пределы	2	2
166	была бы	2	2
167	однако не	4	2
168	нет и	2	2
169	что и	3	2
170	не есть	12	2
171	вместе с	5	2
172	для всякого	2	2
173	от всякой	2	2
174	чтобы не	2	2
175	и что	2	2
176	не так	3	2
177	в результате	8	2
178	чем же	3	2
179	даже и	13	2
180	на его	2	2
181	является для	3	2
182	и это	2	2
183	бы быть	2	2
184	во всем	2	2
185	с ним	4	2
