N	2gram	Bakhtin_Fr_6	formyVre
1	и в	41	50
2	то есть	24	33
3	в романе	2	32
4	в этом	12	25
5	в нем	16	24
6	и его	13	16
7	в литературе	5	16
8	прежде всего	10	15
9	и не	3	14
10	как мы	12	14
11	вовсе не	7	13
12	как раз	2	13
13	в его	7	13
14	так и	5	12
15	человека и	2	11
16	может быть	2	11
17	таким образом	17	11
18	мы уже	18	11
19	то же	5	11
20	и как	4	10
21	времени и	2	10
22	но в	8	10
23	в конце	2	9
24	в том	2	9
25	же время	5	9
26	и др	10	9
27	в особенности	7	9
28	все эти	11	9
29	в то	6	9
30	не только	10	9
31	с его	5	9
32	роль в	4	9
33	в самом	10	8
34	и их	3	8
35	но и	13	8
36	и на	9	8
37	как и	7	8
38	того же	4	8
39	жизни и	3	8
40	характер и	2	7
41	и во	2	7
42	так сказать	2	7
43	все же	4	6
44	в частности	2	6
45	в дальнейшем	2	6
46	например в	6	6
47	не может	4	6
48	лишь в	2	6
49	так же	5	6
50	в результате	4	6
51	так как	10	6
52	у него	7	6
53	с этим	3	6
54	и все	9	6
55	связи с	2	6
56	во всех	17	6
57	то что	10	6
58	в ее	5	6
59	как в	4	6
60	что в	7	5
61	и другие	2	5
62	одного и	2	5
63	в образе	6	5
64	не в	4	5
65	значение в	2	5
66	и до	7	5
67	до нас	5	5
68	в основе	4	5
69	точки зрения	2	5
70	всех этих	2	5
71	романа в	3	5
72	но не	2	5
73	он не	2	5
74	того чтобы	4	5
75	и у	2	5
76	в последующие	2	4
77	понятно что	2	4
78	в своем	5	4
79	характерно что	2	4
80	было и	2	4
81	кроме того	9	4
82	до конца	2	4
83	в котором	4	4
84	все это	11	4
85	конечно и	4	4
86	потому что	3	4
87	и с	16	4
88	в ней	4	4
89	к себе	2	4
90	в них	7	4
91	конечно не	3	4
92	вполне понятно	2	4
93	раз в	2	4
94	и т.п	19	4
95	в той	5	4
96	том что	7	4
97	и для	3	4
98	и то	2	4
99	осла в	2	4
100	только в	3	4
101	не могут	2	3
102	мы еще	2	3
103	в этих	2	3
104	связаны с	7	3
105	при этом	3	3
106	хотя и	2	3
107	мира в	2	3
108	один из	6	3
109	со всеми	2	3
110	в форме	2	3
111	пространства в	2	3
112	этом отношении	3	3
113	с одной	4	3
114	именно в	4	3
115	но эта	2	3
116	они не	3	3
117	а в	4	3
118	и те	2	3
119	их в	2	3
120	сказать что	6	3
121	в начале	3	3
122	в одном	5	3
123	поэтому и	3	3
124	но они	4	3
125	был бы	2	3
126	в xvii	2	3
127	и образ	4	3
128	уже говорили	11	3
129	с мотивом	2	3
130	здесь дается	2	3
131	одной из	3	3
132	в сущности	8	3
133	и потому	2	3
134	громадное влияние	2	3
135	вместе с	6	3
136	сих пор	3	3
137	последующие эпохи	2	3
138	всеми его	2	3
139	еще более	2	3
140	а не	2	3
141	что не	3	3
142	между ними	3	3
143	искусстве и	2	3
144	мы не	2	3
145	мы видим	6	3
146	или в	6	3
147	с другими	3	3
148	более того	4	3
149	в себе	5	3
150	до сих	3	3
151	уже в	4	2
152	мы будем	3	2
153	никогда не	8	2
154	с другой	4	2
155	никто не	2	2
156	почти вовсе	2	2
157	что все	2	2
158	для нас	2	2
159	они были	3	2
160	есть в	3	2
161	одной стороны	4	2
162	нашей эры	4	2
163	xvii века	2	2
164	мы встречаем	3	2
165	есть только	3	2
166	можно прямо	2	2
167	природы и	2	2
168	в эпосе	2	2
169	существенную роль	3	2
170	наконец и	2	2
171	те же	3	2
172	мы находим	2	2
173	с помощью	6	2
174	во втором	3	2
175	того что	3	2
176	и даже	4	2
177	рядом с	5	2
178	самим собой	2	2
179	также и	6	2
180	но он	5	2
181	прямо сказать	2	2
182	во всем	5	2
183	в истории	2	2
184	что мы	2	2
185	все то	5	2
186	как он	2	2
187	здесь только	3	2
188	тех же	2	2
189	с ним	4	2
190	xvii веке	2	2
191	влияния на	2	2
192	здесь и	8	2
193	тогда когда	2	2
194	стороны и	2	2
195	но конечно	2	2
196	в чем	3	2
197	есть именно	2	2
198	здесь в	9	2
199	не были	3	2
200	было бы	3	2
201	уже сказали	3	2
202	этот образ	7	2
203	но оно	3	2
204	а также	5	2
205	в своей	2	2
206	как бы	7	2
207	и прежде	2	2
208	в центре	2	2
209	если мы	2	2
210	в значительной	2	2
211	с точки	2	2
212	громадную роль	2	2
213	той же	5	2
214	в данном	3	2
215	как она	2	2
216	тем что	5	2
217	и вообще	4	2
218	там где	5	2
219	характер в	3	2
