N	3gram	Losev_Prob_1	KulturaY
1	и т д	10	14
2	в том что	5	10
3	можно было бы	2	9
4	с точки зрения	3	8
5	для того чтобы	8	8
6	с другой стороны	3	7
7	в самом деле	2	7
8	по крайней мере	2	6
9	только потому что	2	6
10	во всяком случае	3	5
11	в этом смысле	6	5
12	тем не менее	18	5
13	и тем не	8	4
14	не может быть	2	4
15	в этой области	2	4
16	в связи с	4	3
17	в то же	4	3
18	точно так же	4	3
19	в конце концов	4	3
20	можно сказать что	3	2
21	на то что	8	2
22	так же как	2	2
23	и в самом	2	2
24	в таких случаях	2	2
25	на самом деле	4	2
26	того или иного	2	2
27	не говоря уже	2	2
28	в этом случае	2	2
29	и вовсе не	4	2
30	так или иначе	2	2
