N	2gram	Bakhtin_Fr_3	VLabPisa
1	таким образом	10	27
2	в этом	15	26
3	и в	40	25
4	не только	13	22
5	может быть	9	21
6	хотя бы	2	20
7	и не	13	19
8	не может	3	17
9	в его	13	15
10	прежде всего	16	13
11	в том	8	13
12	этом отношении	2	13
13	в частности	3	12
14	все это	4	12
15	с другой	2	11
16	из них	4	11
17	о том	4	10
18	к этому	6	9
19	об этом	3	9
20	что в	12	9
21	для него	5	9
22	и др	7	9
23	но и	11	9
24	то же	7	9
25	все эти	8	8
26	в своем	7	8
27	из этих	2	7
28	в году	5	7
29	как и	11	7
30	том что	4	7
31	было бы	4	7
32	отношению к	2	7
33	во всех	6	7
34	вместе с	3	7
35	по отношению	3	7
36	не было	5	7
37	а не	5	7
38	у него	8	6
39	это не	2	6
40	в себе	3	6
41	это и	2	6
42	то что	5	6
43	том же	2	6
44	в основном	4	6
45	в нем	5	6
46	так и	3	6
47	и его	17	6
48	их в	3	6
49	между тем	3	6
50	в то	6	6
51	же время	6	5
52	все же	2	5
53	связи с	6	5
54	и есть	3	5
55	одним из	2	5
56	как бы	3	5
57	один из	4	5
58	в их	4	5
59	на основе	2	5
60	сказать что	3	5
61	только в	3	5
62	в плане	2	5
63	он говорит	6	5
64	в одном	7	4
65	в целом	2	4
66	что он	2	4
67	с его	3	4
68	можно сказать	2	4
69	в ее	3	4
70	в романе	15	4
71	одна из	3	4
72	в своей	6	4
73	в нашей	2	4
74	в самом	6	4
75	даже в	4	4
76	вот как	2	4
77	образов и	2	4
78	как раз	5	4
79	в них	9	4
80	в связи	5	4
81	в этой	3	4
82	и к	3	3
83	во время	8	3
84	всех этих	3	3
85	и ее	2	3
86	и как	3	3
87	даже и	2	3
88	и от	3	3
89	или меньшей	3	3
90	в конце	3	3
91	момент в	2	3
92	одном из	2	3
93	мы знаем	2	3
94	у нас	4	3
95	мы видели	3	3
96	но как	2	3
97	большей или	3	3
98	как о	2	3
99	с этим	2	3
100	например в	2	3
101	далеко не	2	3
102	в виду	7	3
103	в котором	2	3
104	что и	3	3
105	жизни и	4	3
106	именно в	2	3
107	образом в	2	3
108	в значительной	3	3
109	никак не	3	3
110	точки зрения	2	3
111	не менее	2	2
112	том числе	3	2
113	связана с	2	2
114	и образов	2	2
115	не подлежит	3	2
116	с нею	2	2
117	вовсе не	12	2
118	роль в	4	2
119	в книге	2	2
120	или иной	2	2
121	до сих	4	2
122	и потому	4	2
123	но не	2	2
124	они и	2	2
125	числе и	2	2
126	смысле слова	4	2
127	как известно	2	2
128	в системе	2	2
129	еще не	3	2
130	в большей	2	2
131	для того	3	2
132	он и	7	2
133	одной из	2	2
134	если бы	3	2
135	в образах	6	2
136	меньшей степени	2	2
137	в ней	4	2
138	и даже	4	2
139	и этот	2	2
140	что для	2	2
141	сих пор	4	2
142	до нас	7	2
143	во всей	3	2
144	а в	3	2
145	в особенности	5	2
146	начиная с	3	2
147	еще и	2	2
148	в течение	2	2
149	того чтобы	4	2
150	должны быть	2	2
151	между ними	3	2
152	и для	5	2
153	года и	2	2
154	можно было	3	2
155	в своих	5	2
156	также и	4	2
157	лишь в	2	2
158	он в	2	2
159	он не	9	2
160	они не	3	2
161	в другом	3	2
162	как он	2	2
163	в которой	2	2
164	в области	4	2
165	говорит об	2	2
166	о чем	2	2
167	но в	8	2
