N	2gram	Losev_Vlad_2	Istorich
1	и в	30	22
2	в этом	20	17
3	что в	12	15
4	не только	12	14
5	мы видели	2	13
6	но и	8	12
7	и не	18	12
8	может быть	7	11
9	в этих	4	11
10	таким образом	3	10
11	но в	8	10
12	что он	13	9
13	в нем	4	9
14	что и	3	9
15	вместе с	8	9
16	в том	18	9
17	с этим	5	8
18	том что	12	8
19	как мы	11	8
20	к этому	6	7
21	но не	3	7
22	то что	20	7
23	уже не	3	7
24	мы должны	4	7
25	так как	5	7
26	здесь можно	2	6
27	связи с	8	6
28	в них	3	6
29	это не	2	6
30	мы уже	2	6
31	не вполне	2	6
32	с ней	2	6
33	а в	11	6
34	то же	4	6
35	в течение	5	6
36	возможно что	2	6
37	а не	7	6
38	друг друга	2	6
39	ничего не	2	6
40	а он	2	5
41	не менее	7	5
42	в частности	2	5
43	тем не	6	5
44	так что	5	5
45	есть и	2	5
46	или по	2	5
47	все же	9	5
48	он не	4	5
49	здесь мы	3	5
50	того что	5	5
51	к нему	2	5
52	в этой	4	5
53	как это	7	4
54	у нас	6	4
55	не в	9	4
56	в дальнейшем	5	4
57	только в	6	4
58	на этом	2	4
59	в свою	3	4
60	она не	2	4
61	к ней	3	4
62	отношение к	4	4
63	для нас	7	4
64	его и	2	4
65	а именно	6	4
66	и его	6	4
67	и на	4	4
68	в данном	3	4
69	не может	9	4
70	но он	3	4
71	все эти	5	4
72	и с	14	4
73	я не	4	3
74	и от	2	3
75	он все	2	3
76	и все	7	3
77	прежде всего	6	3
78	к тому	2	3
79	и к	6	3
80	увидим ниже	2	3
81	как и	5	3
82	и как	3	3
83	но это	4	3
84	у него	19	3
85	было бы	9	3
86	на его	4	3
87	но по	2	3
88	между прочим	7	3
89	в его	11	3
90	никогда не	7	3
91	и она	2	3
92	в целом	4	3
93	данном случае	2	3
94	со стороны	4	3
95	должен был	3	3
96	в связи	8	3
97	а мы	2	3
98	так же	4	3
99	его не	2	3
100	сказать что	11	3
101	потому что	9	3
102	он и	3	3
103	из этих	3	3
104	о том	4	3
105	его в	4	3
106	здесь не	4	3
107	их в	2	3
108	в чем	2	3
109	в самых	2	2
110	после смерти	4	2
111	не было	10	2
112	всех этих	3	2
113	с тем	2	2
114	и есть	2	2
115	но тем	2	2
116	точно так	3	2
117	на все	2	2
118	вовсе не	4	2
119	нет никаких	2	2
120	можно сказать	4	2
121	уже давно	2	2
122	во всяком	6	2
123	мы знаем	4	2
124	же в	2	2
125	ни в	7	2
126	но все	2	2
127	как в	3	2
128	при этом	5	2
129	то время	6	2
130	после того	2	2
131	себе в	2	2
132	с очень	2	2
133	себе и	2	2
134	не мог	8	2
135	и о	4	2
136	да и	3	2
137	хотя и	6	2
138	в ней	4	2
139	его на	3	2
140	и потому	2	2
141	и он	4	2
142	всяком случае	6	2
143	в котором	5	2
144	даже в	2	2
145	не имеет	2	2
146	то это	4	2
147	и это	3	2
148	жизни и	6	2
149	нет ничего	3	2
150	который был	2	2
151	так и	5	2
152	в своем	8	2
153	не могла	2	2
154	той же	4	2
155	если не	2	2
156	еще более	3	2
157	и вот	3	2
158	там же	12	2
159	и что	5	2
160	он на	2	2
161	что не	2	2
162	и даже	10	2
163	и для	3	2
164	время как	2	2
165	а то	2	2
166	в работе	2	2
167	и то	5	2
168	в русском	2	2
169	очень много	2	2
170	в виде	3	2
171	точки зрения	7	2
172	в то	9	2
173	как будто	2	2
174	него и	2	2
175	во многих	2	2
176	мы сейчас	3	2
177	а также	10	2
