N	2gram	Berdyaev_O_1	EvropaiE
1	и в	19	37
2	что в	4	21
3	не только	11	18
4	хотя бы	3	15
5	в своем	2	14
6	но и	13	14
7	и не	13	14
8	но в	2	14
9	в этом	12	12
10	в том	5	11
11	так и	2	10
12	прежде всего	9	9
13	не может	4	9
14	т е	4	9
15	в себе	3	9
16	в ее	2	8
17	было бы	3	8
18	в своей	2	8
19	как и	6	7
20	того что	3	7
21	так как	2	7
22	том что	2	6
23	может быть	11	6
24	для того	3	6
25	как бы	3	6
26	то что	5	6
27	того чтобы	4	6
28	и на	2	6
29	не в	11	5
30	в россии	5	5
31	и потому	2	5
32	вопрос о	10	4
33	чем в	2	4
34	в самом	5	4
35	к ней	2	4
36	по себе	2	4
37	россии в	2	4
38	не имеет	2	4
39	сказать что	2	4
40	и к	2	3
41	с тем	2	3
42	можно ли	2	3
43	никогда не	9	3
44	жизни в	2	3
45	и от	3	3
46	что и	2	3
47	когда он	3	3
48	ее в	2	3
49	потребность в	2	3
50	и для	2	3
51	потому что	9	3
52	тем что	2	3
53	о том	3	3
54	что все	2	2
55	он сам	4	2
56	не могут	3	2
57	а не	11	2
58	в этих	3	2
59	и все	10	2
60	к нему	3	2
61	чем на	3	2
62	он не	7	2
63	в его	7	2
64	не есть	2	2
65	только одно	3	2
66	всего в	2	2
67	что же	2	2
68	а в	5	2
69	в других	2	2
70	в своих	3	2
71	и с	2	2
72	хотя и	2	2
73	могут быть	3	2
74	в этой	5	2
75	и то	2	2
76	в истории	2	2
