N	2gram	Vinokur_St_2	Mirosoze
1	и в	29	46
2	в нем	4	22
3	может быть	2	21
4	в этом	21	20
5	никогда не	3	18
6	для него	4	18
7	и не	9	18
8	не только	19	18
9	но и	19	15
10	не может	2	15
11	как и	2	13
12	а не	5	13
13	прежде всего	5	12
14	потому что	9	12
15	не было	3	11
16	в ней	7	11
17	но он	3	11
18	у нас	3	11
19	и он	3	11
20	но в	8	10
21	он не	9	10
22	в себе	2	10
23	он был	2	9
24	не в	4	9
25	но это	3	8
26	как бы	5	8
27	в своем	9	8
28	так как	2	8
29	в этой	2	7
30	что он	13	7
31	и к	4	7
32	и потому	2	7
33	как в	3	7
34	хотя бы	3	7
35	вопрос о	6	6
36	что это	3	6
37	так же	3	6
38	того что	5	6
39	и здесь	3	6
40	в русской	5	6
41	то же	2	5
42	я не	7	5
43	в отношении	2	5
44	в самом	7	5
45	в конце	2	5
46	в духе	2	5
47	к тому	10	5
48	то что	11	5
49	в своей	7	5
50	для того	7	5
51	и его	6	5
52	в его	13	5
53	и это	2	5
54	что в	19	4
55	тому что	7	4
56	до конца	3	4
57	что у	4	4
58	они не	2	4
59	не имеет	2	4
60	также и	2	4
61	с его	2	4
62	том что	27	4
63	что и	2	4
64	так и	9	4
65	т е	10	4
66	того чтобы	6	4
67	же как	3	3
68	в образе	3	3
69	ни в	3	3
70	в том	27	3
71	что они	2	3
72	и всегда	2	3
73	не мог	3	3
74	и на	6	3
75	сказать что	2	3
76	и с	4	3
77	о том	17	3
78	его в	2	3
79	как он	2	3
80	в россии	3	3
81	если бы	2	3
82	в них	2	3
83	что было	2	3
84	в трагедии	17	3
85	до сих	6	3
86	на почве	2	3
87	сих пор	5	3
88	русской истории	3	3
89	того как	7	3
90	тем что	3	3
91	только в	2	3
92	отношении к	3	3
93	только с	2	3
94	не был	3	2
95	в этих	3	2
96	нас не	2	2
97	так что	3	2
98	как у	3	2
99	на его	2	2
100	такого рода	2	2
101	хотя и	4	2
102	не к	2	2
103	что за	2	2
104	у всех	2	2
105	его не	3	2
106	и те	2	2
107	был для	4	2
108	точки зрения	5	2
109	было для	2	2
110	между тем	5	2
111	есть еще	2	2
112	не до	2	2
113	по себе	3	2
114	связи с	4	2
115	после того	4	2
116	и что	6	2
117	еще в	2	2
118	оно не	3	2
119	вместе с	7	2
120	ее в	2	2
121	еще более	4	2
122	но с	4	2
123	к своему	2	2
124	ни одного	3	2
125	из этой	2	2
126	от его	2	2
127	в которой	11	2
128	ничего не	4	2
