N	2gram	Tiupa_Hudo_1	Dialekti
1	и не	15	27
2	а не	9	26
3	точки зрения	10	25
4	и в	19	24
5	не только	16	23
6	по себе	2	20
7	не может	7	19
8	и что	3	15
9	то что	4	14
10	с точки	3	14
11	может быть	14	13
12	таким образом	3	13
13	что он	3	13
14	вовсе не	2	13
15	того что	4	12
16	не менее	3	11
17	тем не	3	10
18	отнюдь не	2	10
19	ни в	5	9
20	но и	10	9
21	что она	2	9
22	прежде всего	4	8
23	и как	3	8
24	отличается от	2	8
25	том что	8	8
26	в этом	11	8
27	что в	6	7
28	никогда не	2	7
29	в самом	5	7
30	потому что	3	7
31	в виду	5	7
32	как и	2	7
33	как раз	3	7
34	я не	2	6
35	все это	2	6
36	о том	2	6
37	если бы	3	6
38	превращается в	2	6
39	об этом	2	6
40	что и	2	6
41	не на	3	6
42	то же	10	6
43	в том	18	5
44	хотя и	3	5
45	и его	12	5
46	одно из	2	5
47	в то	6	5
48	как это	5	5
49	в них	2	5
50	и к	3	5
51	одно и	3	5
52	он не	4	5
53	так и	11	5
54	уже не	4	5
55	и притом	3	5
56	личности и	3	5
57	только в	5	5
58	тому что	2	4
59	с другой	7	4
60	это не	2	4
61	или иной	7	4
62	сама по	2	4
63	к тому	4	4
64	от себя	3	4
65	и больше	2	4
66	так же	2	4
67	сказать что	4	4
68	субъекта и	3	4
69	говорить о	3	4
70	собственно говоря	2	4
71	в чем	2	4
72	и то	4	4
73	и это	2	4
74	для него	4	4
75	за пределы	2	3
76	в своем	2	3
77	была бы	3	3
78	не в	7	3
79	есть в	2	3
80	особого рода	5	3
81	же время	5	3
82	одной стороны	2	3
83	случае не	2	3
84	в основе	4	3
85	в нем	5	3
86	с одной	2	3
87	все эти	2	3
88	того или	3	3
89	коем случае	2	3
90	и на	2	3
91	ни к	2	3
92	он должен	3	3
93	мира и	2	3
94	в коем	2	3
95	только о	2	3
96	одна из	2	3
97	и о	3	3
98	при условии	2	3
99	но она	2	3
100	не будет	2	3
101	как бы	9	3
102	быть и	2	3
103	тем самым	4	3
104	для того	2	3
105	к нему	3	3
106	в слове	3	3
107	в каком	2	3
108	и ее	3	3
109	не знает	3	3
110	в частности	13	2
111	из этих	3	2
112	о себе	2	2
113	еще не	3	2
114	при этом	13	2
115	например в	3	2
116	той или	4	2
117	себя и	2	2
118	не вполне	2	2
119	так или	3	2
120	субъект и	2	2
121	и тем	2	2
122	а именно	2	2
123	другой стороны	5	2
124	именно в	2	2
125	сознания в	3	2
126	и по	2	2
127	а в	12	2
128	их в	3	2
129	для себя	2	2
130	и потому	2	2
131	но в	7	2
132	я и	7	2
133	с его	6	2
134	тех или	2	2
135	нового времени	2	2
136	в их	5	2
137	личности в	4	2
138	или иного	3	2
139	что можно	3	2
140	начало и	2	2
141	но как	2	2
142	то в	2	2
143	но не	11	2
144	от своего	2	2
145	никто не	2	2
146	со стороны	2	2
147	себя в	7	2
148	ее в	2	2
149	так в	4	2
150	для такого	2	2
151	и для	2	2
152	я думаю	2	2
153	или в	2	2
154	или иначе	4	2
155	тот или	2	2
156	в данном	4	2
157	могут быть	4	2
158	в себе	9	2
159	из этого	2	2
160	в его	9	2
