N	2gram	Propp_Isto_4	Vladivir
1	и в	26	30
2	то что	16	20
3	в этом	7	20
4	у него	5	19
5	в том	3	18
6	и не	9	18
7	и с	5	14
8	что он	10	13
9	том что	3	12
10	что в	14	12
11	не только	15	12
12	в его	5	11
13	а в	8	11
14	как мы	5	11
15	сказать что	2	11
16	а также	3	10
17	и даже	4	10
18	не в	5	9
19	было бы	2	9
20	все же	9	9
21	потому что	6	9
22	не может	6	9
23	связи с	3	8
24	в своем	2	8
25	вместе с	6	8
26	но и	12	8
27	в связи	2	8
28	не мог	3	8
29	но в	5	8
30	не менее	2	7
31	никогда не	2	7
32	и все	2	7
33	ни в	2	7
34	может быть	14	7
35	между прочим	2	7
36	для нас	3	7
37	а не	6	7
38	как это	3	7
39	хотя и	2	6
40	к этому	5	6
41	об этом	7	6
42	тем не	2	6
43	у нас	2	6
44	только в	3	6
45	в себе	2	6
46	а именно	3	6
47	всякого рода	3	6
48	и его	10	6
49	о чем	3	6
50	и то	6	5
51	по себе	2	5
52	как и	7	5
53	так что	2	5
54	в дальнейшем	6	5
55	при этом	3	5
56	в своей	4	5
57	он уже	2	5
58	как бы	3	5
59	другими словами	2	5
60	так и	10	5
61	все это	2	5
62	с этим	2	5
63	это мы	2	5
64	и что	5	5
65	того что	2	5
66	все эти	3	5
67	так как	9	5
68	содержит в	2	4
69	с этой	2	4
70	вовсе не	4	4
71	его в	9	4
72	мы знаем	8	4
73	в этой	2	4
74	в целом	2	4
75	и если	3	4
76	что это	2	4
77	на его	3	4
78	конечно не	2	4
79	он не	7	4
80	в нем	2	4
81	то это	5	4
82	не есть	2	4
83	в этих	7	4
84	то же	8	4
85	на этот	2	4
86	и он	3	4
87	так же	18	4
88	и на	2	4
89	но это	3	4
90	мы должны	5	4
91	о том	4	4
92	здесь не	4	4
93	мы читаем	2	4
94	отношение к	2	4
95	уже в	2	3
96	должен был	3	3
97	хотя бы	2	3
98	из этих	3	3
99	точно так	5	3
100	что и	9	3
101	по существу	3	3
102	и как	5	3
103	что я	2	3
104	но не	5	3
105	в данном	3	3
106	как в	7	3
107	таким образом	10	3
108	из трех	3	3
109	те же	3	3
110	и вот	2	3
111	здесь мы	2	3
112	уже не	5	3
113	в виде	2	3
114	даже и	2	3
115	но он	4	3
116	его на	4	3
117	в области	2	3
118	к нему	6	2
119	этого не	2	2
120	здесь можно	2	2
121	с тем	2	2
122	и есть	2	2
123	однако в	2	2
124	он же	2	2
125	это не	5	2
126	мы видели	6	2
127	же это	2	2
128	ему в	2	2
129	на котором	3	2
130	же в	3	2
131	только тогда	3	2
132	на этом	2	2
133	возможно что	2	2
134	есть и	2	2
135	после того	2	2
136	она не	3	2
137	почему и	2	2
138	мы уже	5	2
139	такого рода	2	2
140	меня не	3	2
141	в частности	2	2
142	мы пока	2	2
143	на то	3	2
144	даже в	4	2
145	еще один	2	2
146	не имеет	3	2
147	себя в	2	2
148	наряду с	3	2
149	его и	2	2
150	данном случае	3	2
151	меня и	2	2
152	не на	3	2
153	того как	4	2
154	на земле	3	2
155	три года	4	2
156	но все	5	2
157	и по	5	2
158	к этим	2	2
159	их в	7	2
160	и при	3	2
161	и во	2	2
162	тут же	2	2
163	которой он	2	2
164	как он	6	2
165	при жизни	2	2
166	к этой	3	2
167	ничего не	5	2
