N	2gram	Tiupa_Narr_1	Istorich
1	и в	19	22
2	мы имеем	2	19
3	в этом	17	17
4	что в	3	15
5	не только	32	14
6	но и	23	12
7	и не	20	12
8	может быть	25	11
9	или в	2	11
10	еще не	7	10
11	но в	6	10
12	что он	6	9
13	в нем	4	9
14	в том	18	9
15	что они	3	8
16	том что	14	8
17	как мы	3	8
18	другой стороны	4	7
19	с другой	8	7
20	но не	5	7
21	то что	11	7
22	из них	3	7
23	уже не	5	7
24	связи с	4	6
25	это не	2	6
26	не все	5	6
27	а в	11	6
28	то же	4	6
29	а не	12	6
30	ничего не	2	6
31	не менее	3	5
32	в частности	14	5
33	тем не	3	5
34	один из	3	5
35	все же	7	5
36	он не	3	5
37	к нему	5	5
38	могут быть	3	5
39	в этой	5	5
40	не всегда	2	4
41	как это	6	4
42	не в	14	4
43	в пределах	2	4
44	только в	4	4
45	в свою	3	4
46	она не	2	4
47	они не	2	4
48	одним из	2	4
49	что на	2	4
50	нарушение запрета	2	4
51	отношение к	2	4
52	а именно	3	4
53	и его	5	4
54	и на	3	4
55	в данном	5	4
56	не может	10	4
57	тем что	3	4
58	представляют собой	2	4
59	все эти	2	4
60	и с	4	4
61	состоит в	13	3
62	что у	2	3
63	и все	2	3
64	прежде всего	4	3
65	не что	2	3
66	к тому	7	3
67	как и	7	3
68	и как	5	3
69	представляет собой	13	3
70	у него	4	3
71	было бы	4	3
72	в его	9	3
73	никогда не	3	3
74	данном случае	4	3
75	со стороны	9	3
76	в связи	2	3
77	на том	3	3
78	а если	2	3
79	так же	2	3
80	иное как	2	3
81	сказать что	4	3
82	и ее	2	3
83	из этих	3	3
84	что иное	2	3
85	далеко не	5	3
86	о том	6	3
87	его в	2	3
88	здесь не	4	3
89	героя с	2	2
90	после смерти	2	2
91	не было	2	2
92	независимо от	2	2
93	и др	2	2
94	матери и	4	2
95	здесь и	2	2
96	точно так	2	2
97	говорит и	2	2
98	вследствие чего	2	2
99	встречается в	2	2
100	можно сказать	5	2
101	же в	4	2
102	ни в	3	2
103	тому же	5	2
104	но все	4	2
105	в силу	4	2
106	одна из	3	2
107	с одной	7	2
108	как в	7	2
109	при этом	9	2
110	на другой	2	2
111	в качестве	21	2
112	на себя	3	2
113	одной стороны	7	2
114	у нее	2	2
115	они в	2	2
116	совершенно не	2	2
117	например в	2	2
118	одного из	4	2
119	не мог	4	2
120	же как	3	2
121	да и	4	2
122	хотя и	3	2
123	в ней	3	2
124	и потому	2	2
125	и он	3	2
126	даже в	2	2
127	не имеет	2	2
128	не с	3	2
129	отношению к	6	2
130	жизни и	3	2
131	так и	9	2
132	даже не	3	2
133	по отношению	7	2
134	в своем	2	2
135	в особенности	4	2
136	если не	4	2
137	том свете	2	2
138	что не	4	2
139	и даже	3	2
140	и для	2	2
141	роль в	2	2
142	о ней	3	2
143	дело с	2	2
144	между тем	3	2
145	точки зрения	10	2
146	в то	3	2
147	утверждать что	2	2
148	как будто	3	2
149	как правило	4	2
150	а также	7	2
151	что по	2	2
152	же не	4	2
