N	2gram	Vinokur_St_3	EvropaiC
1	таким образом	10	32
2	в том	20	31
3	и в	25	24
4	том что	15	20
5	все эти	3	19
6	не может	7	18
7	то что	12	17
8	может быть	19	15
9	все же	4	15
10	точки зрения	7	13
11	до сих	2	12
12	сих пор	2	12
13	самом деле	2	12
14	в этом	24	12
15	все это	8	11
16	между тем	6	11
17	с этим	7	11
18	как бы	6	10
19	во всех	2	10
20	так и	5	10
21	на то	5	9
22	в результате	2	9
23	как и	4	9
24	того же	2	9
25	что в	19	9
26	не в	6	8
27	в самом	2	8
28	если бы	4	8
29	с точки	4	8
30	не менее	2	7
31	для этого	2	7
32	к тому	2	7
33	но и	9	7
34	и не	10	7
35	и что	3	7
36	из этих	6	7
37	о том	8	7
38	что он	19	7
39	о которых	3	7
40	для того	2	7
41	из этого	4	7
42	все они	3	6
43	с другой	5	6
44	так что	11	6
45	в этой	14	6
46	в общем	4	6
47	несмотря на	3	6
48	отличается от	4	6
49	того что	5	6
50	как на	6	6
51	и на	6	6
52	что касается	7	6
53	так как	3	6
54	еще не	2	6
55	только в	6	6
56	вместе с	2	6
57	что это	16	5
58	что все	3	5
59	у него	9	5
60	в целом	4	5
61	другой стороны	5	5
62	и с	4	5
63	потому что	5	5
64	между собою	2	5
65	но в	5	5
66	к этому	3	5
67	и к	4	5
68	в то	7	5
69	и если	3	5
70	в его	12	5
71	не только	12	5
72	и для	4	5
73	но все	2	5
74	лишь в	4	5
75	в которой	4	5
76	на вопрос	3	4
77	никогда не	2	4
78	в конце	6	4
79	в такой	2	4
80	тем не	2	4
81	что его	2	4
82	это есть	4	4
83	отношение к	4	4
84	в их	3	4
85	а потому	2	4
86	не так	3	4
87	народ в	2	4
88	всех этих	3	4
89	связи с	3	4
90	он не	5	4
91	конце концов	3	4
92	что эта	2	4
93	то же	5	4
94	а с	2	4
95	в течение	4	4
96	этой области	2	4
97	в в	3	4
98	из которых	4	4
99	и у	2	4
100	в виде	3	4
101	в европейской	2	4
102	в области	6	4
103	с одной	2	3
104	в этих	11	3
105	от того	2	3
106	и других	2	3
107	заключается в	2	3
108	и наконец	3	3
109	и по	2	3
110	а в	6	3
111	это не	7	3
112	в начале	4	3
113	что мы	3	3
114	при помощи	2	3
115	с тем	4	3
116	можно назвать	4	3
117	прежде всего	10	3
118	в жизни	4	3
119	у нас	4	3
120	и может	2	3
121	что если	2	3
122	на почве	5	3
123	только что	2	3
124	что по	3	3
125	тем более	3	3
126	в связи	3	3
127	и это	5	3
128	независимо от	5	2
129	себя и	2	2
130	тому что	3	2
131	точку зрения	2	2
132	что у	2	2
133	с этой	3	2
134	на долю	2	2
135	что эти	4	2
136	как мы	2	2
137	для него	3	2
138	к такому	2	2
139	такой же	2	2
140	что они	2	2
141	на этом	3	2
142	же время	3	2
143	в свою	2	2
144	одной стороны	3	2
145	он считает	2	2
146	нет в	3	2
147	к нему	4	2
148	том чтобы	2	2
149	в ней	4	2
150	в виду	2	2
151	всяком случае	4	2
152	в котором	5	2
153	вступают в	2	2
154	с ее	2	2
155	то и	2	2
156	что для	3	2
157	которого в	2	2
158	во втором	2	2
159	в которых	2	2
160	одно из	2	2
161	но как	2	2
162	говорить о	3	2
163	не было	4	2
164	на нее	2	2
165	во всяком	4	2
166	то есть	2	2
167	и более	3	2
168	представляет собою	2	2
169	от нее	3	2
170	в них	5	2
171	гораздо более	2	2
172	тогда когда	2	2
173	этих двух	2	2
174	должен быть	2	2
175	вовсе не	2	2
176	только тогда	2	2
177	то в	4	2
178	так чтобы	2	2
179	одна из	2	2
180	но не	2	2
181	было бы	7	2
182	на себе	2	2
183	в сущности	2	2
184	между прочим	3	2
185	тем как	2	2
186	которую он	2	2
187	о которой	2	2
188	в отдельных	4	2
189	и ее	2	2
190	в другом	3	2
191	этого слова	2	2
192	есть в	2	2
193	и только	2	2
194	в эту	4	2
