N	3gram	Tiupa_Anal_1	DiskursI
1	в том что	9	13
2	с одной стороны	3	9
3	по отношению к	5	9
4	по природе своей	2	5
5	о том что	3	5
6	в отличие от	6	4
7	то же время	6	4
8	к тому же	4	4
9	с другой стороны	2	3
10	той или иной	6	3
11	не может быть	16	3
12	в то же	8	3
13	не в том	3	3
14	сами по себе	2	2
15	в том числе	3	2
16	и того же	2	2
17	одного и того	2	2
18	в данном случае	2	2
19	состоит в том	3	2
20	в том чтобы	7	2
21	не более чем	4	2
22	мы имеем дело	4	2
23	большей или меньшей	4	2
24	не сводится к	2	2
25	подобно тому как	3	2
26	то же самое	2	2
27	в силу своей	2	2
28	в основе своей	2	2
29	а не в	3	2
30	в начале х	2	2
