N	2gram	Bakhtin_KF_1	Problema
1	и в	24	44
2	вовсе не	7	37
3	и не	26	35
4	не есть	20	35
5	может быть	45	28
6	потому что	2	25
7	по себе	2	25
8	то что	7	23
9	в том	6	21
10	только в	16	19
11	а не	17	18
12	в этом	14	17
13	для нас	4	16
14	не только	5	14
15	и то	2	14
16	не в	12	13
17	то же	5	13
18	той или	3	12
19	но в	5	12
20	том что	4	12
21	не менее	3	10
22	но и	9	10
23	в виду	3	10
24	отнюдь не	6	10
25	как и	5	10
26	тем не	2	10
27	так и	2	10
28	это не	10	9
29	и тем	3	9
30	в нем	28	9
31	не имеет	5	9
32	как бы	9	9
33	что он	2	9
34	в то	3	9
35	в его	40	9
36	что и	7	9
37	в данном	2	9
38	и это	12	9
39	что в	4	8
40	или иной	2	8
41	ни в	12	8
42	того что	3	8
43	но это	6	8
44	было бы	8	8
45	он не	6	8
46	в себе	21	8
47	здесь не	3	8
48	не может	27	7
49	уже не	7	7
50	все эти	10	7
51	с ним	5	7
52	это и	2	7
53	и потому	2	7
54	на самом	3	7
55	мы не	3	7
56	ничего общего	2	7
57	никогда не	5	6
58	для этого	2	6
59	то ни	2	6
60	в целом	10	6
61	жизни и	8	6
62	и только	6	6
63	того или	3	6
64	ясно что	3	6
65	общее и	3	6
66	о том	3	6
67	все же	5	6
68	в виде	2	6
69	не было	8	5
70	есть именно	2	5
71	с тем	2	5
72	и есть	9	5
73	в ней	3	5
74	все это	10	5
75	в своем	16	5
76	а в	4	5
77	точки зрения	12	5
78	и здесь	7	5
79	еще не	4	5
80	в своей	10	5
81	как в	2	5
82	тем самым	4	5
83	и его	17	5
84	этого слова	2	5
85	едва ли	2	5
86	тому что	2	4
87	при этом	4	4
88	совершенно не	6	4
89	дело здесь	2	4
90	для которой	3	4
91	но как	5	4
92	раз и	2	4
93	бы то	2	4
94	в ее	16	4
95	только с	3	4
96	в чем	4	4
97	тем что	3	4
98	в каком	4	4
99	дело в	2	4
100	что это	3	3
101	это уже	2	3
102	из себя	8	3
103	прежде всего	2	3
104	ни было	4	3
105	себе а	2	3
106	и как	2	3
107	но все	5	3
108	это есть	2	3
109	в этой	2	3
110	для него	8	3
111	чем не	4	3
112	но эта	5	3
113	может иметь	2	3
114	его в	5	3
115	бы быть	5	3
116	и ни	3	3
117	а это	2	3
118	могло бы	4	3
119	или как	2	3
120	ни к	2	3
121	если бы	8	3
122	или иного	3	3
123	говорить о	2	3
124	но не	12	3
125	в качестве	2	3
126	себе как	2	3
127	не значит	6	3
128	его как	5	3
129	быть и	3	3
130	во всей	4	3
131	если не	2	3
132	и все	7	3
133	самом деле	3	3
134	хотя бы	4	3
135	то или	2	3
136	и ее	2	3
137	как оно	2	3
138	ничего не	3	3
139	или иное	2	2
140	время и	5	2
141	именно в	5	2
142	ее и	6	2
143	всех этих	3	2
144	совсем не	2	2
145	от себя	10	2
146	от его	5	2
147	в контексте	5	2
148	в котором	24	2
149	с ее	2	2
150	и за	2	2
151	от того	3	2
152	в их	8	2
153	в основе	5	2
154	он и	2	2
155	мы имеем	5	2
156	есть действительно	2	2
157	а как	2	2
158	нисколько не	4	2
159	были бы	2	2
160	всей его	2	2
161	в некотором	3	2
162	быть в	4	2
163	при условии	2	2
164	от него	3	2
165	по своему	3	2
166	и может	3	2
167	во всех	11	2
168	для нее	7	2
169	для себя	5	2
170	дело не	2	2
171	себя не	3	2
172	себя в	8	2
173	себя или	2	2
174	и именно	2	2
175	в процессе	2	2
176	жизнь и	2	2
177	а с	2	2
178	котором он	3	2
179	из которых	2	2
180	и для	9	2
181	с точки	9	2
182	другое дело	2	2
183	это можно	2	2
184	могут быть	3	2
185	в другом	3	2
186	жизни но	3	2
187	из него	3	2
188	это было	2	2
