N	2gram	Bakhtin_sl_1	Tvorches
1	и в	41	20
2	в романе	21	15
3	не только	16	13
4	и т	28	13
5	в романах	2	13
6	никогда не	3	11
7	т д	5	11
8	как бы	12	11
9	в его	13	10
10	таким образом	9	10
11	в то	14	10
12	и его	14	9
13	и не	16	9
14	прежде всего	8	8
15	в том	3	8
16	при этом	6	8
17	но и	16	8
18	может быть	14	8
19	в этом	12	8
20	и с	4	8
21	это не	6	7
22	же время	12	7
23	не может	14	7
24	то же	14	7
25	потому что	2	7
26	у него	3	6
27	как и	4	6
28	в целом	2	6
29	в своей	7	6
30	так и	11	6
31	все это	5	6
32	именно в	3	6
33	а не	15	6
34	в основном	3	6
35	еще не	4	5
36	но не	2	5
37	и сам	3	5
38	например в	2	5
39	все же	7	5
40	и даже	6	5
41	так же	2	5
42	и на	14	5
43	о том	3	5
44	то есть	26	5
45	и от	4	4
46	в духе	2	4
47	мы не	2	4
48	том что	2	4
49	мы видим	2	4
50	что они	2	4
51	на его	8	4
52	хотя и	2	4
53	как в	8	4
54	в известной	2	4
55	все эти	9	4
56	не в	7	4
57	а в	6	4
58	и потому	4	4
59	ничего не	4	4
60	но в	8	4
61	а с	2	3
62	же как	2	3
63	с этой	3	3
64	к этому	2	3
65	с ним	7	3
66	одна из	2	3
67	для него	3	3
68	одной из	3	3
69	в самом	5	3
70	он не	3	3
71	в котором	2	3
72	xx века	2	3
73	и др	14	3
74	не является	2	3
75	один из	4	3
76	в нем	30	3
77	сих пор	2	3
78	в их	4	3
79	так как	3	3
80	уже не	2	3
81	романа и	5	3
82	одним из	4	3
83	в себе	3	3
84	однако этот	2	3
85	его в	3	3
86	в плане	6	3
87	между тем	2	3
88	до сих	2	3
89	все время	3	2
90	в роман	19	2
91	от этой	2	2
92	его и	3	2
93	точку зрения	3	2
94	с другой	5	2
95	или даже	2	2
96	где нет	2	2
97	в одном	2	2
98	вовсе не	7	2
99	во всяком	7	2
100	и ее	3	2
101	в ее	2	2
102	у нас	2	2
103	так что	2	2
104	более того	3	2
105	роман и	5	2
106	xviii века	2	2
107	в частности	2	2
108	у тургенева	7	2
109	том же	4	2
110	всяком случае	5	2
111	точка зрения	8	2
112	себя в	9	2
113	по преимуществу	4	2
114	в процессе	4	2
115	в истории	3	2
116	но эти	3	2
117	так в	2	2
118	т п	23	2
119	не было	3	2
120	и других	3	2
121	связь с	2	2
122	и у	2	2
123	и наконец	4	2
124	другой стороны	4	2
125	и по	2	2
126	не должны	2	2
127	друг друга	3	2
128	рядом с	4	2
129	роль в	2	2
130	с другими	5	2
131	с ними	3	2
132	в основе	5	2
133	из них	3	2
134	в виде	2	2
135	могут быть	19	2
136	в которой	4	2
137	и вообще	2	2
138	только в	6	2
139	из этого	3	2
140	так сказать	5	2
