N	3gram	Vygotskiy__1	VLabPisa
1	и т д	8	15
2	в этом отношении	2	13
3	и т п	15	9
4	с другой стороны	5	8
5	не может быть	8	8
6	по этому поводу	2	7
7	более или менее	2	6
8	в зависимости от	5	5
9	в конечном счете	3	5
10	не было бы	2	4
11	в художественном произведении	3	4
12	в том что	9	4
13	в одном из	2	3
14	о том что	7	3
15	вместе с тем	2	3
16	мы видели что	2	3
17	в конце концов	3	2
18	не только не	3	2
19	до сих пор	3	2
20	во всяком случае	6	2
21	этой точки зрения	5	2
22	в том чтобы	7	2
23	с одной стороны	5	2
24	от того что	2	2
25	подобно тому как	5	2
26	для того чтобы	5	2
