N	2gram	Losev_Dial_3	Tvorches
1	и в	24	21
2	как бы	3	17
3	в то	5	15
4	в его	2	13
5	то же	6	13
6	что в	7	12
7	как и	7	12
8	же время	3	12
9	с его	2	11
10	том что	8	11
11	все это	6	10
12	он не	5	8
13	то что	14	8
14	у него	2	7
15	в том	5	7
16	тем самым	3	7
17	при этом	2	7
18	не только	23	7
19	и не	27	7
20	и на	3	7
21	но в	2	7
22	что он	13	6
23	и все	6	6
24	не менее	11	6
25	для него	4	6
26	а в	2	6
27	и его	5	6
28	в этом	8	6
29	о том	6	6
30	отнюдь не	10	5
31	вовсе не	13	5
32	а не	26	5
33	но это	5	5
34	может быть	13	5
35	все же	3	5
36	таким образом	13	5
37	хотя бы	4	5
38	в своих	2	5
39	потому что	7	5
40	только в	5	5
41	в своем	3	4
42	прежде всего	8	4
43	и как	8	4
44	не имеют	2	4
45	не может	19	4
46	это не	4	4
47	и от	3	4
48	не существует	10	3
49	никогда не	7	3
50	с другой	4	3
51	что все	14	3
52	я не	6	3
53	говорит о	4	3
54	это и	7	3
55	но не	2	3
56	со всеми	2	3
57	в самом	7	3
58	той же	3	3
59	но если	6	3
60	в нем	3	3
61	и т	24	3
62	жизни и	5	3
63	но и	9	3
64	ее в	2	3
65	в их	2	3
66	уже не	5	3
67	того что	12	3
68	и даже	13	3
69	и по	2	3
70	так же	4	3
71	есть основа	2	3
72	и с	6	3
73	хотя и	5	3
74	в виде	8	3
75	так как	6	3
76	я и	2	3
77	ни на	3	3
78	в основе	3	2
79	перед нами	3	2
80	зависит от	2	2
81	личности и	5	2
82	своего собственного	2	2
83	а что	4	2
84	в частности	2	2
85	по крайней	5	2
86	точно так	2	2
87	личности в	2	2
88	есть не	9	2
89	что и	6	2
90	крайней мере	5	2
91	его как	3	2
92	что его	5	2
93	об этом	6	2
94	так что	8	2
95	не в	3	2
96	себя но	2	2
97	то в	2	2
98	быть может	3	2
99	одна из	3	2
100	из них	3	2
101	к тому	4	2
102	только на	7	2
103	себя как	3	2
104	в одной	3	2
105	в ней	2	2
106	же и	2	2
107	и когда	2	2
108	из себя	2	2
109	и тем	2	2
110	тем не	10	2
111	не будет	3	2
112	но она	3	2
113	так и	5	2
114	но его	3	2
115	что для	5	2
116	именно в	2	2
117	что она	9	2
118	но только	4	2
119	самом деле	6	2
120	что не	5	2
121	и у	2	2
122	и он	2	2
123	и притом	5	2
124	только что	4	2
125	на свете	3	2
126	или в	2	2
127	и необходимости	2	2
128	людей и	2	2
129	сказать что	4	2
130	в первом	2	2
131	могут быть	2	2
132	в данном	2	2
133	в себе	2	2
134	не знает	3	2
135	пространства и	2	2
136	при помощи	3	2
137	в чем	4	2
138	нет ни	2	2
139	более не	2	2
140	значит что	24	2
141	в виду	7	2
