N	2gram	Bakhtin_Pr_1	DiskursI
1	в себе	4	19
2	при этом	5	17
3	и в	38	16
4	может быть	26	16
5	как и	7	16
6	в этом	15	16
7	и не	42	15
8	а не	5	14
9	в частности	2	12
10	в отличие	5	12
11	отличие от	5	12
12	то есть	46	12
13	в мире	3	11
14	но и	9	11
15	но в	4	11
16	том что	3	10
17	не только	9	10
18	так и	5	9
19	не может	27	9
20	в том	8	8
21	как в	4	8
22	не менее	4	7
23	прежде всего	13	7
24	в нем	15	7
25	ни в	11	7
26	но не	12	7
27	в лирике	2	7
28	в данном	4	7
29	с его	2	6
30	отнюдь не	19	6
31	себя в	2	6
32	еще не	7	6
33	все же	6	6
34	в своей	7	6
35	данном случае	4	6
36	то же	5	6
37	тем самым	4	6
38	в своих	2	6
39	ни к	2	5
40	что в	7	5
41	в своем	5	5
42	с другой	7	5
43	же время	3	5
44	то что	8	5
45	и на	3	5
46	в то	4	5
47	к этому	2	4
48	к его	2	4
49	в пределах	6	4
50	одной стороны	3	4
51	как бы	22	4
52	отношению к	19	4
53	по отношению	21	4
54	этом отношении	2	4
55	с одной	3	4
56	человека в	2	4
57	в основе	5	4
58	точки зрения	8	4
59	о том	4	4
60	не является	3	4
61	могут быть	5	3
62	в этих	2	3
63	в них	5	3
64	столь же	2	3
65	это не	5	3
66	и все	3	3
67	или иной	2	3
68	в строгом	2	3
69	и как	8	3
70	не в	7	3
71	здесь в	2	3
72	можно сказать	2	3
73	например в	3	3
74	он не	3	3
75	той или	2	3
76	в его	43	3
77	в котором	2	3
78	но она	2	3
79	и ее	2	3
80	приводит к	3	3
81	не было	2	3
82	все эти	5	3
83	и наконец	6	3
84	также и	3	3
85	и его	16	3
86	но это	3	3
87	в другом	2	3
88	не знает	3	3
89	только в	13	3
90	не следует	2	3
91	его в	9	3
92	место в	8	2
93	никогда не	5	2
94	в большинстве	5	2
95	в целом	3	2
96	вследствие этого	3	2
97	или иного	2	2
98	на первый	2	2
99	что он	2	2
100	основе своей	3	2
101	а к	2	2
102	должна быть	4	2
103	не нужно	5	2
104	отношение к	10	2
105	из важнейших	3	2
106	в ней	4	2
107	далеко не	5	2
108	на почве	3	2
109	не с	4	2
110	что и	2	2
111	с точки	6	2
112	слова не	3	2
113	не к	6	2
114	и прежде	5	2
115	не на	5	2
116	входит в	8	2
117	может и	4	2
118	чем не	2	2
119	в себя	2	2
120	к своему	2	2
121	все это	3	2
122	не более	2	2
123	объекта и	7	2
124	другой стороны	4	2
125	и для	11	2
126	должно быть	5	2
127	а в	6	2
128	совпадает с	2	2
129	и с	17	2
130	может иметь	5	2
131	говорить о	3	2
132	и это	3	2
133	дело в	2	2
134	здесь не	4	2
135	но здесь	3	2
136	в области	11	2
137	мы имеем	2	2
138	между тем	7	2
139	произведения как	8	2
