N	2gram	Losev_Prob_3	SlovoVZh
1	не может	7	16
2	точки зрения	5	14
3	может быть	28	14
4	и его	5	13
5	как бы	9	13
6	таким образом	9	12
7	и в	44	12
8	в нашем	5	11
9	и не	35	10
10	если бы	3	9
11	так как	9	9
12	прежде всего	3	8
13	художественного произведения	14	7
14	для нас	16	7
15	сказать что	16	7
16	в нем	9	6
17	в процессе	2	6
18	при этом	4	6
19	в том	21	6
20	только в	19	6
21	слова и	3	6
22	в ней	5	6
23	то что	23	5
24	никогда не	6	5
25	а не	18	5
26	можно сказать	6	5
27	то же	13	5
28	хотя бы	3	5
29	как и	10	5
30	том что	12	5
31	отнюдь не	10	5
32	как в	5	5
33	что мы	8	5
34	и следовательно	2	5
35	но в	12	5
36	мы ни	2	5
37	в виду	10	5
38	и к	6	4
39	ни было	3	4
40	все же	6	4
41	жизни и	6	4
42	так и	10	4
43	от того	2	4
44	с другой	7	4
45	на самом	7	4
46	уже не	7	4
47	литературы и	2	4
48	не в	13	4
49	в этом	17	4
50	его в	3	4
51	дело в	4	4
52	в самом	3	4
53	за пределы	5	4
54	и является	4	4
55	не только	14	4
56	в котором	2	3
57	и более	2	3
58	бы то	4	3
59	не менее	10	3
60	когда он	2	3
61	в художественном	3	3
62	в своей	5	3
63	быть и	3	3
64	бы мы	2	3
65	сих пор	2	3
66	художественное произведение	8	3
67	все это	5	3
68	то ни	6	3
69	ее и	2	3
70	и по	2	3
71	и вообще	8	3
72	все эти	7	3
73	ясно что	6	3
74	по себе	25	3
75	этой точки	2	3
76	но и	10	3
77	произведения и	2	3
78	того что	8	3
79	художественном произведении	3	3
80	тем не	10	3
81	ни в	8	3
82	да и	5	3
83	так же	5	3
84	самом деле	3	3
85	мы не	7	3
86	формы и	3	3
87	и с	9	3
88	о том	6	3
89	в каком	4	3
90	и ее	3	3
91	в себе	8	3
92	для него	3	3
93	до сих	2	3
94	еще не	5	3
95	только на	5	3
96	и для	2	3
97	из этого	3	3
98	здесь не	8	3
99	с ним	7	3
100	как только	3	2
101	и значение	3	2
102	уже в	3	2
103	с этой	3	2
104	что и	9	2
105	в настоящее	2	2
106	но все	3	2
107	что в	8	2
108	данном случае	7	2
109	вместе с	2	2
110	общего с	3	2
111	а к	2	2
112	в этих	2	2
113	все они	2	2
114	в своем	5	2
115	в отношении	2	2
116	нет ничего	6	2
117	другой стороны	5	2
118	что слово	2	2
119	это не	9	2
120	вещи и	7	2
121	мы имеем	2	2
122	и все	3	2
123	и другие	3	2
124	с одной	2	2
125	и что	7	2
126	искусства и	2	2
127	едва ли	5	2
128	не есть	35	2
129	не так	3	2
130	и вполне	5	2
131	с точки	2	2
132	и здесь	5	2
133	его как	3	2
134	же самое	9	2
135	как на	2	2
136	и притом	4	2
137	с другими	3	2
138	но это	8	2
139	в данном	9	2
140	и то	14	2
141	нас и	2	2
142	мы можем	6	2
143	но не	3	2
144	могут быть	2	2
145	но что	2	2
146	одно и	3	2
147	есть уже	3	2
148	кроме того	3	2
149	она не	3	2
150	в то	9	2
151	настоящее время	2	2
152	ни на	3	2
153	мы в	4	2
154	если же	3	2
155	эта последняя	2	2
156	которые мы	3	2
157	в чем	4	2
158	как это	2	2
159	ничего не	3	2
160	он не	8	2
161	в условиях	3	2
162	в его	9	2
163	и потому	7	2
164	из него	2	2
165	контекст и	2	2
