N	3gram	Losev_Vlad_3	Dialekti
1	с точки зрения	6	9
2	в том что	10	9
3	это значит что	6	7
4	то же время	2	6
5	в то же	3	6
6	не может быть	6	6
7	ни в каком	2	4
8	ничего не говорит	4	4
9	само по себе	3	4
10	в этом смысле	3	4
11	и в этом	5	3
12	на то что	2	3
13	не говорит о	2	3
14	что это есть	2	3
15	есть прежде всего	2	3
16	не имеет ничего	2	2
17	иметь в виду	2	2
18	сам по себе	2	2
19	имеет ничего общего	2	2
20	и в то	2	2
21	никакого отношения к	3	2
22	тем не менее	9	2
23	ничего общего с	2	2
24	это учение о	2	2
25	точно так же	4	2
26	хотя бы и	3	2
27	в сравнении с	2	2
