N	3gram	Bakhtin_Pr_2	slovoVRo
1	не может быть	6	15
2	той или иной	3	5
3	в большинстве случаев	2	5
4	то же время	3	4
5	в то же	3	4
6	в том что	4	4
7	в зависимости от	3	4
8	по отношению к	8	4
9	но все же	2	4
10	или иной степени	2	3
11	в той или	2	3
12	с точки зрения	9	3
13	сама по себе	5	3
14	в этом отношении	2	3
15	но в то	3	3
16	никогда не может	2	2
17	как мы сказали	3	2
18	в его романах	4	2
19	человека и его	2	2
20	у него нет	2	2
21	хотя бы и	2	2
22	с авторским словом	2	2
23	до сих пор	2	2
24	в предшествующей главе	3	2
