N	2gram	Vinokur_Ku_3	OGranits
1	и в	23	13
2	прежде всего	9	9
3	не может	6	8
4	и не	10	8
5	может быть	14	8
6	точки зрения	23	7
7	и пр	3	7
8	в его	11	7
9	таким образом	9	6
10	не только	17	6
11	то что	4	6
12	только в	6	6
13	мы должны	3	6
14	как бы	5	6
15	все же	5	5
16	с точки	16	5
17	языка и	2	5
18	хотя бы	9	5
19	в поэзии	5	5
20	в процессе	3	5
21	то же	6	4
22	тех пор	4	4
23	но мы	2	4
24	в своей	4	4
25	до тех	4	4
26	вопроса о	3	4
27	все это	2	4
28	еще и	2	4
29	на фоне	7	4
30	в двух	2	4
31	лишь в	8	4
32	мы не	3	4
33	слов и	5	4
34	было бы	16	4
35	но в	2	4
36	пор пока	4	3
37	отношению к	2	3
38	что в	13	3
39	но и	3	3
40	так и	6	3
41	что же	5	3
42	в их	6	3
43	по отношению	3	3
44	не как	2	3
45	в одном	2	3
46	точку зрения	2	3
47	самом деле	14	3
48	я хочу	3	3
49	языка как	4	3
50	в ее	4	3
51	как и	5	3
52	не в	5	3
53	за пределы	2	3
54	не столько	4	3
55	в пределах	2	3
56	говорить о	6	3
57	так как	9	3
58	но для	3	3
59	слово в	3	3
60	не менее	12	2
61	уже в	3	2
62	с этой	3	2
63	и тем	6	2
64	может иметь	3	2
65	в целом	4	2
66	литературного языка	3	2
67	своего рода	2	2
68	о языке	6	2
69	форм но	2	2
70	данном случае	4	2
71	а не	11	2
72	в отношении	3	2
73	отношений между	2	2
74	другой стороны	3	2
75	с другой	7	2
76	в языке	7	2
77	в связи	5	2
78	и должно	5	2
79	а в	5	2
80	с одной	4	2
81	все эти	7	2
82	вовсе не	5	2
83	те же	7	2
84	или иного	3	2
85	есть не	3	2
86	в тех	2	2
87	к тому	3	2
88	и к	3	2
89	как в	4	2
90	если бы	8	2
91	в общем	6	2
92	в чем	5	2
93	не имеет	3	2
94	в том	22	2
95	так же	2	2
96	том что	11	2
97	в зависимости	7	2
98	языка но	3	2
99	с помощью	6	2
100	в данном	7	2
101	зависимости от	8	2
102	что они	2	2
103	в этом	16	2
104	учение о	2	2
105	тем что	5	2
106	между тем	4	2
107	в структуре	3	2
108	могут быть	6	2
109	при этом	6	2
110	чем же	2	2
111	смысле слова	2	2
112	тот же	6	2
113	одной стороны	4	2
114	того или	3	2
115	слова и	7	2
116	в области	14	2
117	в самом	13	2
118	мог бы	2	2
119	и при	2	2
120	об особой	2	2
121	там где	3	2
122	в ней	3	2
123	а также	4	2
