N	2gram	Vinokur_St_1	Morfolog
1	может быть	15	52
2	и т	30	49
3	т д	21	47
4	таким образом	7	20
5	не может	8	17
6	т е	15	16
7	в этих	2	16
8	могут быть	5	15
9	с этим	3	14
10	и в	44	13
11	в этом	21	13
12	так как	5	12
13	прежде всего	7	9
14	не всегда	2	9
15	этом случае	2	9
16	так и	9	9
17	то же	5	9
18	и не	16	9
19	а не	16	9
20	мы имеем	2	9
21	с другой	9	8
22	по существу	2	8
23	что и	6	8
24	при помощи	2	8
25	в результате	3	8
26	представляет собою	2	7
27	вопрос о	4	7
28	в тех	3	7
29	в качестве	4	7
30	но если	4	7
31	все же	8	7
32	или же	2	7
33	это не	8	6
34	в том	36	6
35	но не	3	6
36	а также	2	6
37	а в	17	6
38	во время	3	6
39	не менее	5	5
40	это явление	2	5
41	во всех	8	5
42	как бы	4	5
43	не все	3	5
44	то что	18	5
45	потому что	6	5
46	мы не	2	5
47	что в	30	4
48	вовсе не	19	4
49	очень часто	3	4
50	об этом	3	4
51	тем не	2	4
52	отношению к	3	4
53	случае не	2	4
54	было бы	17	4
55	несмотря на	2	4
56	не только	18	4
57	то это	3	4
58	как в	13	4
59	другой стороны	7	4
60	так же	5	4
61	по отношению	3	4
62	как и	9	4
63	там где	5	4
64	д но	4	4
65	тем что	5	4
66	точки зрения	11	4
67	с точки	8	4
68	видно что	3	4
69	также и	9	4
70	его в	2	4
71	в иных	2	4
72	если в	2	4
73	а если	2	4
74	ничего не	2	4
75	в других	2	4
76	если бы	9	3
77	а то	2	3
78	в начале	3	3
79	в какой	3	3
80	он должен	2	3
81	том что	29	3
82	но все	4	3
83	но это	6	3
84	что они	7	3
85	в целом	5	3
86	того чтобы	11	3
87	в сущности	2	3
88	во втором	4	3
89	он не	2	3
90	не является	3	3
91	в первом	2	3
92	ни в	3	3
93	но и	10	3
94	на него	2	3
95	целый ряд	2	3
96	на самом	6	3
97	самом деле	11	3
98	такие случаи	2	3
99	и по	5	3
100	к нему	2	3
101	и для	3	3
102	можно назвать	2	3
103	из них	8	3
104	в то	9	3
105	но в	10	3
106	значит что	3	3
107	иных случаях	2	2
108	что ни	2	2
109	совсем не	2	2
110	вопрос в	3	2
111	и более	2	2
112	в виде	3	2
113	в частности	4	2
114	и за	3	2
115	хотя бы	6	2
116	а во	3	2
117	что эта	2	2
118	что он	10	2
119	так например	7	2
120	то в	3	2
121	только в	10	2
122	а на	3	2
123	что до	2	2
124	то время	2	2
125	для него	6	2
126	одной стороны	2	2
127	считаться с	2	2
128	никто не	4	2
129	но для	2	2
130	не значит	3	2
131	ни одной	2	2
132	из двух	3	2
133	не существует	3	2
134	быть и	2	2
135	без всякой	3	2
136	вопроса о	3	2
137	может не	2	2
138	и тогда	2	2
139	и только	3	2
140	а с	3	2
141	с одной	3	2
142	все эти	5	2
143	и что	4	2
144	того что	9	2
145	для того	10	2
146	тем же	3	2
147	не имеет	4	2
148	и его	8	2
149	можно было	13	2
150	в каком	3	2
151	этот вопрос	4	2
152	в другом	3	2
153	не знает	2	2
154	что мы	5	2
155	о том	17	2
156	в свое	2	2
157	ясно что	10	2
158	сказать что	7	2
159	как это	4	2
160	время как	2	2
