N	2gram	Voloshinov_1	Komedia
1	и в	19	22
2	и не	26	21
3	том что	3	13
4	в том	6	12
5	таким образом	17	12
6	так как	2	11
7	ни в	2	10
8	до сих	8	9
9	в самом	10	9
10	сих пор	8	9
11	если бы	2	8
12	в своем	2	8
13	что он	2	8
14	в его	6	8
15	что и	2	8
16	в этом	16	8
17	о том	2	8
18	его в	3	8
19	при этом	8	7
20	в свою	2	7
21	то же	7	7
22	а в	4	7
23	в конце	5	7
24	к этому	5	6
25	ясно что	5	6
26	свою очередь	2	6
27	того же	6	6
28	еще не	4	6
29	для того	4	6
30	к тому	2	6
31	может быть	26	6
32	как раз	2	6
33	самом деле	10	6
34	того чтобы	5	6
35	и его	19	6
36	в то	3	6
37	не менее	4	5
38	связи с	11	5
39	что в	4	5
40	же время	3	5
41	прежде всего	13	5
42	не только	8	5
43	в своей	3	5
44	из них	3	5
45	все это	3	5
46	по отношению	3	5
47	он не	3	5
48	тем что	2	5
49	но в	7	5
50	с самого	4	4
51	самого начала	4	4
52	но все	3	4
53	отнюдь не	6	4
54	между собой	2	4
55	с другой	5	4
56	вовсе не	5	4
57	нет и	4	4
58	и здесь	6	4
59	все же	8	4
60	не в	5	4
61	не дает	3	4
62	до конца	5	4
63	в ней	4	4
64	то что	8	4
65	но и	8	4
66	и речи	2	4
67	в отношении	4	4
68	с помощью	6	4
69	а не	7	4
70	и для	11	4
71	друг друга	8	4
72	так же	7	4
73	точки зрения	34	4
74	в себе	2	4
75	в связи	7	4
76	бы в	2	4
77	так и	11	4
78	не является	4	4
79	хотя бы	5	4
80	и с	2	4
81	от нее	2	3
82	в частности	2	3
83	никогда не	2	3
84	до тех	2	3
85	то ни	8	3
86	следует что	3	3
87	в какой	3	3
88	с этой	2	3
89	с этим	4	3
90	одного из	3	3
91	в нем	10	3
92	далеко не	4	3
93	и к	3	3
94	тем не	2	3
95	в ее	7	3
96	как и	12	3
97	в начале	5	3
98	было бы	4	3
99	и тот	4	3
100	конечно не	5	3
101	на этот	3	3
102	как бы	15	3
103	отношению к	2	3
104	тех пор	2	3
105	не может	24	3
106	в двух	2	3
107	что не	2	3
108	с точки	20	3
109	и даже	2	3
110	не имеет	3	3
111	одной из	3	3
112	мы можем	2	3
113	во всяком	5	3
114	но если	2	3
115	не знает	2	3
116	же самое	3	3
117	как он	2	3
118	в которой	3	3
119	ничего не	6	3
120	всяком случае	2	3
121	в основе	2	2
122	ни было	10	2
123	в качестве	2	2
124	не как	2	2
125	как в	4	2
126	не будет	4	2
127	нового времени	2	2
128	и все	5	2
129	но при	2	2
130	если он	2	2
131	не могут	3	2
132	себя от	2	2
133	а как	3	2
134	если мы	11	2
135	к своему	2	2
136	мы знаем	5	2
137	этом случае	3	2
138	отличие от	5	2
139	она не	2	2
140	бы то	8	2
141	в пределах	6	2
142	тот же	4	2
143	совершенно не	3	2
144	в сущности	3	2
145	за пределы	5	2
146	одним из	2	2
147	от того	4	2
148	конце концов	3	2
149	и он	2	2
150	между ними	4	2
151	за пределами	2	2
152	ни одной	2	2
153	в котором	3	2
154	во всех	7	2
155	как мы	13	2
156	другой стороны	6	2
157	целый ряд	3	2
158	не было	3	2
159	этом отношении	3	2
160	человека в	2	2
161	не приходится	2	2
162	мы не	6	2
163	из которых	2	2
164	все остальные	2	2
165	с другими	3	2
166	в таком	2	2
167	можно было	2	2
168	или иначе	2	2
169	в своих	2	2
170	и на	4	2
171	в результате	9	2
172	тому что	2	2
173	между тем	3	2
174	и во	2	2
175	нуждается в	3	2
176	и ее	3	2
177	нет ни	2	2
178	в другом	2	2
179	и это	3	2
180	нет ничего	3	2
181	из этого	2	2
182	к этой	2	2
183	в области	3	2
184	в виду	2	2
