N	3gram	Losev_Prob_2	KulturaY
1	в самом деле	2	11
2	для того чтобы	2	11
3	можно было бы	2	10
4	тем не менее	12	9
5	в том что	4	8
6	и т д	6	8
7	до сих пор	4	8
8	в данном случае	5	4
9	до тех пор	4	4
10	и в этом	3	4
11	в связи с	5	4
12	с одной стороны	5	4
13	в том случае	2	4
14	только тогда когда	3	4
15	в этом случае	7	4
16	с другой стороны	5	3
17	можно говорить о	2	3
18	не только в	2	3
19	не может быть	3	3
20	того или иного	5	3
21	на самом деле	2	3
22	о том что	14	3
23	в том числе	2	2
24	один и тот	2	2
25	сама по себе	4	2
26	то или иное	2	2
27	как раз и	4	2
28	только в том	4	2
29	тот или иной	4	2
30	только то что	3	2
31	более или менее	4	2
32	в таком случае	10	2
33	не говоря уже	4	2
34	а не просто	2	2
35	говоря уже о	4	2
36	и тот же	2	2
37	если бы не	3	2
