N	2gram	Berdyaev_O_1	EvropaiC
1	в том	5	31
2	и в	19	24
3	том что	2	20
4	все эти	4	19
5	не может	4	18
6	то что	5	17
7	может быть	11	15
8	все же	2	15
9	в своем	2	12
10	в этом	12	12
11	все это	6	11
12	как бы	3	10
13	все что	3	10
14	так и	2	10
15	как и	6	9
16	что в	4	9
17	не в	11	8
18	в самом	5	8
19	и все	10	8
20	но и	13	7
21	и не	13	7
22	о том	3	7
23	что он	3	7
24	того чтобы	4	7
25	для того	3	7
26	так что	2	6
27	в этой	5	6
28	того что	3	6
29	и на	2	6
30	так как	2	6
31	с ним	3	6
32	еще не	3	6
33	что и	2	6
34	и от	3	5
35	что все	2	5
36	у него	22	5
37	как к	2	5
38	и с	2	5
39	потому что	9	5
40	его в	2	5
41	но в	2	5
42	к этому	2	5
43	и к	2	5
44	в его	7	5
45	не только	11	5
46	и для	2	5
47	лишь в	7	5
48	в себе	3	5
49	в которой	2	5
50	не могут	3	4
51	никогда не	9	4
52	хотя и	2	4
53	отношение к	5	4
54	должно быть	2	4
55	и то	2	4
56	он не	7	4
57	не есть	2	4
58	хотя бы	3	4
59	в этих	3	3
60	вопрос о	10	3
61	в нем	10	3
62	а в	5	3
63	это не	3	3
64	во имя	3	3
65	в истории	2	3
66	и потому	2	3
67	с тем	2	3
68	прежде всего	9	3
69	от него	7	3
70	чем в	2	3
71	на земле	4	3
72	ко всем	2	3
73	можно ли	2	2
74	что у	2	2
75	все в	4	2
76	для него	5	2
77	что они	2	2
78	к нему	3	2
79	что для	2	2
80	в самой	9	2
81	одно из	2	2
82	не было	9	2
83	и там	2	2
84	не очень	2	2
85	было бы	3	2
86	и из	2	2
87	никто не	3	2
88	только одно	3	2
89	которую он	2	2
90	него в	5	2
91	что же	2	2
92	о которой	2	2
93	и ее	3	2
94	в другом	2	2
