N	2gram	Berdyaev_O_1	Dialekti
1	не есть	2	40
2	и не	13	30
3	по себе	2	25
4	т е	4	25
5	и в	19	18
6	ничего не	2	17
7	может быть	11	17
8	в нем	10	16
9	и есть	3	16
10	так что	2	15
11	не имеет	2	15
12	а не	11	14
13	потому что	9	14
14	что в	4	13
15	то что	5	13
16	не только	11	13
17	было бы	3	12
18	в этом	12	12
19	не может	4	12
20	что он	3	11
21	как бы	3	11
22	учение о	2	11
23	все это	6	11
24	в себе	3	11
25	так как	2	11
26	прежде всего	9	10
27	сказать что	2	10
28	никогда не	9	9
29	это не	3	9
30	в том	5	9
31	так и	2	9
32	том что	2	9
33	и то	2	9
34	к нему	3	8
35	но и	13	7
36	что не	4	7
37	хотя бы	3	6
38	ни с	7	6
39	не было	9	6
40	и вот	3	6
41	не в	11	6
42	его не	2	6
43	и ни	2	6
44	с ним	3	6
45	но в	2	6
46	он сам	4	5
47	в этих	3	5
48	в своем	2	5
49	все же	2	5
50	отношение к	5	5
51	и он	8	5
52	а в	5	5
53	и с	2	5
54	быть может	3	4
55	от него	7	4
56	хотя и	2	4
57	только и	4	4
58	к ней	2	4
59	о том	3	4
60	же это	2	3
61	что и	2	3
62	что они	2	3
63	и все-таки	2	3
64	и о	2	3
65	и из	2	3
66	он не	7	3
67	в его	7	3
68	и потому	2	3
69	нем нет	3	3
70	что же	2	3
71	мысли и	3	3
72	в самом	5	3
73	должно быть	2	3
74	что для	2	3
75	ничто не	2	3
76	от самого	2	3
77	могут быть	3	3
78	даже и	2	3
79	и все	10	3
80	того что	3	2
81	и от	3	2
82	к этому	2	2
83	вопрос о	10	2
84	как и	6	2
85	всегда есть	4	2
86	для него	5	2
87	еще не	3	2
88	для того	3	2
89	никто не	3	2
90	что человек	3	2
91	это за	3	2
92	же можно	2	2
93	в своей	2	2
94	для всякого	2	2
95	на земле	4	2
96	все эти	4	2
97	и для	2	2
98	он всегда	7	2
99	в другом	2	2
100	это было	3	2
