N	3gram	Vinokur_Vv_1	Psycholo
1	и т п	5	15
2	в том что	12	9
3	и т д	37	8
4	не может быть	8	8
5	в самом деле	5	7
6	о том что	12	7
7	в том чтобы	5	7
8	во всяком случае	3	6
9	заключается в том	3	6
10	с одной стороны	4	5
11	само по себе	3	5
12	с другой стороны	5	5
13	не в том	2	5
14	для того чтобы	21	5
15	одной и той	2	3
16	и той же	2	3
17	точно так же	2	3
18	в отличие от	3	3
19	в конце концов	2	3
20	только в том	2	3
21	в собственном смысле	2	3
22	что в этом	2	3
23	до сих пор	5	3
24	как будто бы	2	2
25	и в самом	3	2
26	по этому поводу	2	2
27	смысле этого слова	2	2
28	с точки зрения	2	2
29	то же самое	2	2
30	тем не менее	8	2
31	в целом ряде	2	2
32	сама по себе	3	2
33	в этом отношении	3	2
34	состоит в том	2	2
35	в применении к	6	2
36	вместе с тем	3	2
37	в этом смысле	10	2
38	тех или иных	3	2
39	потому что он	2	2
