N	2gram	Propp_Russ_1	Russkaja
1	не может	4	22
2	и не	6	19
3	в том	17	17
4	в этом	12	17
5	и в	36	14
6	то что	6	13
7	таким образом	6	11
8	то же	3	11
9	точки зрения	3	11
10	но и	16	10
11	том что	19	9
12	не только	22	9
13	с точки	3	9
14	может быть	8	9
15	отнюдь не	2	7
16	к тому	4	7
17	мы должны	2	7
18	о том	8	7
19	и с	2	7
20	на самом	2	6
21	и к	3	6
22	с тем	8	6
23	если в	3	6
24	все это	6	6
25	в своем	3	6
26	и для	2	6
27	в своих	2	6
28	в россии	4	6
29	себя и	2	5
30	между собой	2	5
31	и на	10	5
32	при этом	6	5
33	в нем	2	5
34	во всех	4	5
35	по существу	4	5
36	а в	9	5
37	потому что	10	5
38	только в	4	5
39	между тем	7	5
40	но не	2	4
41	что в	19	4
42	как и	10	4
43	к вопросу	2	4
44	как бы	5	4
45	все же	5	4
46	вместе с	10	4
47	в их	4	4
48	приводит к	3	4
49	в его	2	4
50	так как	15	4
51	для них	3	3
52	что это	3	3
53	в большинстве	2	3
54	из этих	4	3
55	главным образом	2	3
56	таким же	3	3
57	этом случае	5	3
58	всех этих	2	3
59	и как	2	3
60	что они	7	3
61	в качестве	3	3
62	еще не	4	3
63	несмотря на	3	3
64	и потому	2	3
65	для этого	2	3
66	что и	7	3
67	и т	10	3
68	из них	8	3
69	не было	2	3
70	того что	4	3
71	и по	8	3
72	или в	2	3
73	тем что	4	3
74	в виде	6	3
75	связи с	4	3
76	одна из	4	3
77	только для	2	2
78	а с	4	2
79	и более	2	2
80	в частности	2	2
81	у него	2	2
82	по этому	3	2
83	но даже	2	2
84	его и	2	2
85	с этим	2	2
86	этот вопрос	2	2
87	состоит в	8	2
88	их не	2	2
89	уже не	6	2
90	так что	2	2
91	но это	4	2
92	их к	2	2
93	не можем	3	2
94	настоящее время	3	2
95	она не	2	2
96	в ней	2	2
97	в настоящее	3	2
98	на этой	2	2
99	для нас	6	2
100	в некоторых	4	2
101	быть и	2	2
102	но она	2	2
103	тому что	4	2
104	тогда как	2	2
105	в течение	5	2
106	все эти	2	2
107	не просто	2	2
108	только на	3	2
109	и что	4	2
110	а не	2	2
111	так же	3	2
112	в других	11	2
113	и те	3	2
114	во многих	5	2
115	том же	2	2
116	их в	3	2
117	в силу	2	2
118	мы можем	2	2
119	на себя	2	2
120	во время	14	2
121	как будто	5	2
122	в этих	3	2
123	большинстве случаев	2	2
124	с ним	2	2
125	в области	3	2
126	но в	2	2
