N	2gram	Potebnia_M_4	FransuaR
1	и в	23	41
2	то есть	34	20
3	таким образом	24	19
4	в этом	23	15
5	и все	4	14
6	как и	14	14
7	то же	14	13
8	все эти	3	13
9	мы уже	3	12
10	в его	5	12
11	в том	23	11
12	как мы	2	11
13	в себе	14	11
14	никто не	2	10
15	так и	6	10
16	все это	5	10
17	в то	4	10
18	и его	2	9
19	не в	11	9
20	же время	3	9
21	но и	11	9
22	в своем	8	9
23	что в	17	9
24	то что	29	8
25	но в	8	8
26	в них	3	7
27	вовсе не	7	7
28	как бы	5	7
29	в нем	7	7
30	и не	18	7
31	это не	7	6
32	мы видим	2	6
33	есть в	5	6
34	для него	5	6
35	и до	3	6
36	только в	15	6
37	о том	8	6
38	уже в	5	5
39	не только	10	5
40	и к	6	5
41	в ней	2	5
42	вместе с	6	5
43	что и	7	5
44	как в	7	5
45	того как	6	5
46	и у	2	5
47	а в	5	5
48	к нему	5	5
49	и для	2	5
50	так же	4	5
51	точки зрения	4	5
52	и это	2	5
53	потому что	33	5
54	что это	7	4
55	хотя и	5	4
56	из одного	3	4
57	в образе	2	4
58	и здесь	2	4
59	том что	12	4
60	все что	2	4
61	после того	2	4
62	было бы	8	4
63	в сущности	2	4
64	может быть	26	4
65	он не	2	4
66	в виду	3	4
67	влияние на	2	4
68	с образами	2	4
69	должно быть	5	4
70	и на	3	4
71	в более	2	4
72	и с	4	4
73	одном из	2	4
74	я не	2	3
75	и есть	3	3
76	что у	3	3
77	во время	2	3
78	в одном	4	3
79	и потому	10	3
80	его к	2	3
81	в мире	2	3
82	в нее	3	3
83	но это	3	3
84	есть и	2	3
85	в свою	2	3
86	кроме того	3	3
87	при этом	15	3
88	в это	2	3
89	но есть	4	3
90	например в	3	3
91	и их	3	3
92	таким же	5	3
93	лица и	3	3
94	что он	4	3
95	проявляется в	2	3
96	не может	11	3
97	не было	12	3
98	в той	4	3
99	тем самым	4	3
100	с точки	3	3
101	не имеет	5	3
102	и по	3	3
103	той же	3	3
104	можно было	2	3
105	с ними	3	3
106	нас в	2	3
107	тем что	10	3
108	его в	4	3
109	так сказать	5	3
110	так как	14	3
111	что все	4	2
112	именно в	3	2
113	и др	2	2
114	никогда не	3	2
115	что между	3	2
116	в этих	3	2
117	другими словами	8	2
118	и так	3	2
119	с этим	7	2
120	же что	2	2
121	на самом	3	2
122	человека в	2	2
123	том и	2	2
124	есть то	4	2
125	есть не	4	2
126	к тому	3	2
127	отношению к	8	2
128	и как	2	2
129	по своему	2	2
130	явления и	2	2
131	в большинстве	2	2
132	уже здесь	2	2
133	отношение к	2	2
134	тот же	2	2
135	еще не	3	2
136	того что	14	2
137	и может	4	2
138	мы в	3	2
139	значительной степени	2	2
140	этот образ	2	2
141	на том	2	2
142	глядя на	2	2
143	дело не	2	2
144	оно не	2	2
145	в состоянии	2	2
146	не есть	9	2
147	не знаем	2	2
148	в процессе	3	2
149	по отношению	10	2
150	в разных	3	2
151	и сама	2	2
152	в течение	2	2
153	еще более	2	2
154	и других	3	2
155	находится в	5	2
156	только на	4	2
157	а не	12	2
158	из которых	2	2
159	уже не	3	2
160	что значит	2	2
161	мы не	8	2
162	в данном	4	2
163	и то	5	2
164	их в	3	2
165	во всяком	5	2
166	может иметь	2	2
167	что есть	3	2
168	в которых	3	2
169	ту же	3	2
170	эти образы	2	2
171	было связано	2	2
172	большинстве случаев	2	2
173	бы в	2	2
174	в которой	6	2
175	с ним	5	2
176	в области	2	2
177	мы имеем	4	2
178	это было	2	2
