N	2gram	Voloshinov_2	Poddanst
1	не только	13	17
2	и в	19	14
3	и не	19	12
4	в отношении	4	10
5	в этом	15	10
6	то же	16	9
7	в том	7	9
8	в качестве	3	9
9	но в	7	9
10	хотя бы	6	8
11	в пределах	10	8
12	же время	8	7
13	в то	8	7
14	только в	8	7
15	но и	10	6
16	в ней	3	6
17	в смысле	6	6
18	xix века	2	6
19	было бы	4	6
20	с другой	3	5
21	не в	10	5
22	и пр	25	5
23	отношении к	5	5
24	и о	2	5
25	может быть	28	5
26	в котором	3	4
27	то что	4	4
28	что в	2	4
29	если бы	11	4
30	в своем	2	4
31	не может	18	4
32	по себе	3	4
33	а в	3	4
34	том что	10	4
35	как бы	19	4
36	и потому	2	4
37	в нем	11	3
38	столь же	3	3
39	это не	4	3
40	с одной	3	3
41	прежде всего	7	3
42	для того	6	3
43	с точки	13	3
44	сводится к	2	3
45	мы не	2	3
46	и как	6	3
47	с ними	4	3
48	между тем	6	3
49	но не	2	3
50	могут быть	3	3
51	точки зрения	17	3
52	в себе	4	3
53	одной стороны	3	3
54	и тем	4	2
55	не к	3	2
56	именно в	2	2
57	во всех	6	2
58	но к	2	2
59	отнюдь не	8	2
60	тем более	5	2
61	как раз	4	2
62	отношения к	2	2
63	с этим	3	2
64	в жизни	2	2
65	именно как	2	2
66	еще более	2	2
67	стороны и	2	2
68	в значительной	2	2
69	а не	9	2
70	того что	4	2
71	должно быть	3	2
72	в ее	3	2
73	как на	2	2
74	в русском	4	2
75	одна из	7	2
76	из важнейших	2	2
77	является в	2	2
78	в виде	2	2
79	не было	3	2
80	в начале	2	2
81	и это	3	2
82	да и	3	2
83	в его	5	2
84	и с	2	2
