N	2gram	Berdyaev_M_1	Myshleni
1	и в	28	25
2	в том	6	23
3	том что	3	20
4	что в	10	17
5	в основе	2	16
6	с тем	9	16
7	как и	5	15
8	то что	5	15
9	в его	9	15
10	в этом	20	14
11	вместе с	6	14
12	может быть	30	13
13	так как	3	12
14	по своему	2	11
15	как бы	2	10
16	и не	11	10
17	и что	2	10
18	того что	7	10
19	было бы	10	10
20	что и	4	10
21	только в	6	10
22	как в	2	9
23	того чтобы	2	8
24	тем что	4	8
25	уже в	4	7
26	все эти	2	7
27	по своей	2	7
28	для того	2	7
29	не в	16	6
30	высшей степени	2	6
31	и у	2	6
32	один из	4	6
33	не может	28	6
34	и на	6	6
35	потому что	16	6
36	в высшей	2	6
37	от этого	2	6
38	что он	10	6
39	но не	8	6
40	не только	29	6
41	все же	2	6
42	точки зрения	4	6
43	все это	6	6
44	и как	2	5
45	для него	11	5
46	одним из	2	5
47	и по	4	5
48	человека и	14	5
49	если бы	2	5
50	и к	2	5
51	о том	2	5
52	входит в	2	5
53	могут быть	2	5
54	в этой	6	5
55	не могут	5	4
56	никогда не	14	4
57	в своем	10	4
58	прежде всего	10	4
59	к тому	3	4
60	мог бы	4	4
61	не мог	3	4
62	время как	2	4
63	но и	25	4
64	а в	4	4
65	сказать что	2	4
66	в то	2	4
67	с ним	2	4
68	от нее	5	4
69	с этим	3	4
70	и все	10	4
71	нет никаких	2	4
72	то время	2	4
73	мы увидим	3	4
74	он не	24	4
75	по сравнению	2	4
76	приводит к	2	4
77	это значит	3	4
78	и это	12	4
79	значит что	4	4
80	с этой	4	3
81	в свою	2	3
82	на этом	3	3
83	в самом	11	3
84	в него	3	3
85	в котором	8	3
86	и их	3	3
87	на том	3	3
88	этот процесс	3	3
89	отличается от	2	3
90	по отношению	2	3
91	не иметь	2	3
92	в которых	4	3
93	его в	3	3
94	как он	2	3
95	не как	4	3
96	в жизни	3	3
97	к этому	2	3
98	мы видим	2	3
99	не есть	9	3
100	с ней	2	3
101	когда он	3	3
102	место в	2	2
103	в этих	4	2
104	и от	2	2
105	основании что	2	2
106	и вместе	4	2
107	для нас	3	2
108	смысле слова	4	2
109	в нем	13	2
110	заключает в	3	2
111	в свете	3	2
112	должно быть	3	2
113	в начале	2	2
114	бы в	2	2
115	с его	3	2
116	в них	4	2
117	и во	2	2
118	которых он	4	2
119	все что	2	2
120	есть и	3	2
121	с их	2	2
122	с началом	2	2
123	и потому	10	2
124	еще в	2	2
125	отношению к	2	2
126	в мире	10	2
127	в своей	15	2
128	уже не	4	2
129	на этот	2	2
130	и для	2	2
131	и его	9	2
132	у человека	5	2
133	с внутренней	2	2
134	на пути	4	2
135	в каком	2	2
136	в себе	7	2
137	а как	2	2
