N	2gram	Potebnia_M_2	Otkroven
1	у него	2	22
2	человеческой природы	2	20
3	и в	24	19
4	но и	9	13
5	и не	19	13
6	в этом	8	12
7	а не	18	11
8	не в	13	11
9	человека в	3	11
10	может быть	23	11
11	не только	15	11
12	человека и	3	10
13	и все	3	10
14	вопрос о	2	10
15	в нем	9	10
16	никогда не	4	9
17	не было	6	9
18	в человеке	4	9
19	в самой	3	9
20	потому что	49	9
21	прежде всего	7	9
22	ни с	2	7
23	но он	2	7
24	от него	4	7
25	в его	2	7
26	все это	2	6
27	как и	7	6
28	то что	20	5
29	а в	8	5
30	в том	18	5
31	для него	10	5
32	в самом	4	5
33	с его	2	4
34	того чтобы	2	4
35	что не	5	4
36	и его	2	4
37	все эти	2	4
38	не может	12	4
39	что в	16	4
40	не могут	7	3
41	в этих	3	3
42	и есть	2	3
43	это не	3	3
44	что он	4	3
45	того что	7	3
46	для того	5	3
47	хотя бы	2	3
48	быть может	7	3
49	еще не	4	3
50	и от	3	3
51	могут быть	8	3
52	все что	3	3
53	в себе	10	3
54	было бы	13	3
55	о том	5	3
56	с ним	5	3
57	как бы	9	3
58	это было	2	3
59	уже в	5	2
60	все же	5	2
61	что и	11	2
62	не есть	6	2
63	в душе	23	2
64	и для	3	2
65	с тем	4	2
66	с чем	3	2
67	так и	5	2
68	что у	2	2
69	при чтении	2	2
70	то к	2	2
71	что есть	2	2
72	не все	2	2
73	что все	2	2
74	к этому	2	2
75	по себе	15	2
76	ко всем	2	2
77	о которой	3	2
78	не имеет	6	2
79	должно быть	2	2
80	его не	3	2
81	в которой	5	2
82	в других	4	2
83	что для	3	2
84	том что	8	2
85	так что	10	2
86	в другом	2	2
87	и на	8	2
88	и то	3	2
89	что они	5	2
90	сказать что	2	2
91	совсем не	2	2
92	тем что	7	2
93	одно из	3	2
94	даже и	2	2
95	было для	2	2
96	мысль о	7	2
97	его в	3	2
98	так как	10	2
99	хотя и	3	2
100	к ней	2	2
101	но в	4	2
102	и потому	2	2
