N	2gram	Bakhtin_KF_1	Problemy
1	и не	26	31
2	и в	24	29
3	в его	40	24
4	может быть	45	24
5	а не	17	22
6	в этом	14	22
7	как бы	9	19
8	в нем	28	19
9	точки зрения	12	19
10	для него	8	18
11	не только	5	15
12	то что	7	15
13	не как	4	14
14	но и	9	14
15	и его	17	14
16	то же	5	14
17	рядом с	3	14
18	уже не	7	13
19	с точки	9	13
20	как и	5	12
21	не может	27	12
22	в одном	4	10
23	этом смысле	3	10
24	в то	3	10
25	только в	16	10
26	видения и	2	10
27	там где	5	10
28	это не	10	9
29	все же	5	9
30	но не	12	9
31	же время	2	9
32	о нем	4	9
33	все эти	10	9
34	в единство	2	9
35	если бы	8	9
36	в каждом	3	8
37	в своем	16	8
38	до конца	3	8
39	по себе	2	8
40	что он	2	8
41	что в	4	8
42	отношению к	22	8
43	в своей	10	8
44	по отношению	26	8
45	потому что	2	8
46	в том	6	8
47	прежде всего	2	7
48	вовсе не	7	7
49	а как	2	7
50	том что	4	7
51	не в	12	7
52	лишь как	2	7
53	так и	2	7
54	входит в	3	7
55	и как	2	7
56	а в	4	7
57	и на	3	7
58	в себе	21	7
59	мира и	4	7
60	но в	5	7
61	все это	10	6
62	его целом	10	6
63	в целом	10	6
64	к нему	12	6
65	в единстве	7	6
66	был бы	3	6
67	как в	2	6
68	самом деле	3	6
69	в мире	6	6
70	менее всего	6	6
71	могут быть	3	6
72	этого мира	3	6
73	его в	5	6
74	и потому	2	6
75	сознания и	3	5
76	должна быть	4	5
77	именно в	5	5
78	было бы	8	5
79	но все	5	5
80	еще не	4	5
81	это и	2	5
82	он не	6	5
83	на самом	3	5
84	между тем	4	5
85	он и	2	5
86	и это	12	5
87	с ним	5	5
88	ничего не	3	5
89	или как	2	5
90	мира в	6	5
91	в едином	9	4
92	были бы	2	4
93	раз и	2	4
94	тем как	3	4
95	бы и	3	4
96	что и	7	4
97	его как	5	4
98	но это	6	4
99	как предмет	2	4
100	не значит	6	4
101	сознания не	2	4
102	в процессе	2	4
103	от того	3	4
104	и для	9	4
105	не было	8	4
106	тем что	3	4
107	но эта	5	4
108	должно быть	6	4
109	в основе	5	4
110	в этой	2	4
111	я не	6	3
112	никогда не	5	3
113	ни в	12	3
114	не дает	3	3
115	и пр	3	3
116	ним и	3	3
117	себе и	3	3
118	оно не	2	3
119	он может	2	3
120	бытия в	5	3
121	в их	8	3
122	тому что	2	3
123	мир в	11	3
124	мысль не	2	3
125	в себя	7	3
126	автора как	2	3
127	не из	2	3
128	и здесь	7	3
129	ее как	2	3
130	в своих	3	3
131	этот мир	2	3
132	как к	2	3
133	но как	5	3
134	не знает	5	3
135	отношении к	2	3
136	и этим	3	3
137	а лишь	3	2
138	единство бытия	2	2
139	всех этих	3	2
140	ни был	2	2
141	себя и	2	2
142	его и	2	2
143	то ни	2	2
144	хотя бы	4	2
145	мира не	3	2
146	в жизни	2	2
147	вследствие этого	2	2
148	вопрос о	2	2
149	его к	2	2
150	и ее	2	2
151	не есть	20	2
152	жизни и	8	2
153	из самого	2	2
154	из его	3	2
155	не потому	2	2
156	бы то	2	2
157	при этом	4	2
158	только как	4	2
159	отсюда и	3	2
160	кажется что	2	2
161	все остальное	2	2
162	бы он	2	2
163	конечно не	7	2
164	он ни	2	2
165	не о	2	2
166	в котором	24	2
167	значимость и	2	2
168	один из	2	2
169	войти в	2	2
170	нисколько не	4	2
171	мира но	4	2
172	отношение к	5	2
173	момент его	8	2
174	ни было	4	2
175	во всей	4	2
176	и единство	3	2
177	в контексте	5	2
178	дело здесь	2	2
179	здесь мы	4	2
180	в смысле	6	2
181	именно на	2	2
182	к себе	2	2
183	из которых	2	2
184	в данном	2	2
185	себя как	2	2
186	в ней	3	2
187	для себя	5	2
188	и есть	9	2
189	его на	2	2
190	всей его	2	2
191	мысль как	2	2
192	в сознании	2	2
