N	2gram	Tiupa_Lite_2	formyVre
1	и в	19	50
2	то есть	5	33
3	в этом	9	25
4	в нем	3	24
5	человека в	4	17
6	и его	3	16
7	прежде всего	4	15
8	и не	11	14
9	вовсе не	2	13
10	как раз	2	13
11	в его	4	13
12	по существу	3	12
13	так и	7	12
14	может быть	17	11
15	то же	12	11
16	и как	3	10
17	но в	2	10
18	в конце	2	9
19	в том	10	9
20	же время	9	9
21	и др	3	9
22	в то	9	9
23	не только	8	9
24	ничего не	3	9
25	и т	2	8
26	но и	10	8
27	и на	6	8
28	жизни в	4	8
29	как и	10	8
30	того же	4	8
31	жизни и	4	8
32	т п	2	8
33	не было	2	7
34	для себя	2	7
35	все же	2	6
36	в частности	4	6
37	с ее	2	6
38	в их	3	6
39	не может	9	6
40	в результате	2	6
41	так как	3	6
42	у него	2	6
43	в жизни	2	6
44	во всех	3	6
45	то что	7	6
46	в ее	2	6
47	что в	4	5
48	не в	4	5
49	и до	2	5
50	в основе	2	5
51	точки зрения	4	5
52	отнюдь не	4	5
53	но не	5	5
54	еще не	2	5
55	он не	5	5
56	отношению к	3	5
57	для того	2	5
58	могут быть	2	5
59	том числе	2	4
60	до конца	2	4
61	потому что	2	4
62	и с	3	4
63	в ней	4	4
64	в них	2	4
65	и т.п	10	4
66	том что	7	4
67	и для	3	4
68	и то	3	4
69	себя и	2	3
70	с тем	2	3
71	при этом	6	3
72	себе и	3	3
73	в виду	2	3
74	мира в	2	3
75	один из	4	3
76	по отношению	4	3
77	этом отношении	3	3
78	с одной	7	3
79	и других	4	3
80	друг друга	2	3
81	а в	3	3
82	одно из	2	3
83	в начале	3	3
84	в одном	2	3
85	был бы	2	3
86	не знает	2	3
87	на фоне	5	3
88	что было	2	3
89	же в	2	3
90	в качестве	5	3
91	одно и	2	3
92	со своей	2	3
93	одной из	2	3
94	в сущности	3	3
95	по преимуществу	2	3
96	что и	2	3
97	вместе с	5	3
98	а не	20	3
99	что не	2	3
100	мы не	4	3
101	в себе	6	3
102	уже в	2	2
103	же как	2	2
104	никогда не	3	2
105	в нашем	2	2
106	с другой	8	2
107	и нет	2	2
108	для нас	2	2
109	для него	4	2
110	одной стороны	6	2
111	нет в	2	2
112	к жизни	2	2
113	в целом	2	2
114	не к	2	2
115	к своему	2	2
116	того что	5	2
117	и даже	8	2
118	и еще	2	2
119	в истории	2	2
120	как он	2	2
121	с ним	2	2
122	для всех	5	2
123	не является	2	2
124	и к	2	2
125	одна из	5	2
126	было бы	2	2
127	а также	2	2
128	как бы	2	2
129	жизни на	2	2
130	уже не	2	2
131	с точки	3	2
132	хотя бы	2	2
133	той же	2	2
134	в данном	3	2
135	тем что	4	2
136	на себя	2	2
137	соответствии с	2	2
138	ту же	2	2
139	слова и	7	2
