N	2gram	Bakhtin_KF_1	Istorich
1	и в	24	24
2	что он	2	21
3	не только	5	21
4	может быть	45	14
5	не может	27	14
6	что в	4	13
7	мы имеем	5	12
8	как в	2	12
9	в этом	14	12
10	и здесь	7	12
11	но и	9	11
12	это не	10	10
13	том что	4	10
14	а в	4	10
15	не в	12	9
16	все же	5	9
17	о том	3	9
18	потому что	2	9
19	еще не	4	8
20	что и	7	8
21	все это	10	8
22	то же	5	8
23	а не	17	8
24	один из	2	7
25	в том	6	7
26	во всех	11	7
27	то что	7	7
28	к нему	12	7
29	тем что	3	6
30	всех этих	3	6
31	для нас	4	6
32	как и	5	6
33	но не	12	6
34	в нем	28	6
35	он не	6	6
36	и все	7	6
37	того что	3	6
38	только в	16	6
39	что это	3	6
40	не менее	3	5
41	отношение к	5	5
42	дело не	2	5
43	так и	2	5
44	здесь мы	4	5
45	в чем	4	5
46	с ним	5	5
47	ничего не	3	5
48	имеем в	2	5
49	там где	5	5
50	но в	5	5
51	никогда не	5	4
52	вовсе не	7	4
53	он может	2	4
54	тем не	2	4
55	но все	5	4
56	при этом	4	4
57	как бы	9	4
58	в их	8	4
59	если не	2	4
60	и не	26	4
61	не имеет	5	4
62	мы не	3	4
63	точки зрения	12	4
64	в данном	2	4
65	в качестве	2	3
66	вступает в	3	3
67	тогда когда	3	3
68	вопрос о	2	3
69	нечто вроде	2	3
70	кажется что	2	3
71	но есть	2	3
72	себе и	3	3
73	его в	5	3
74	здесь нет	2	3
75	что за	2	3
76	и она	2	3
77	и его	17	3
78	но это	6	3
79	к себе	2	3
80	от него	3	3
81	которой он	2	3
82	и этим	3	3
83	не будет	2	2
84	для нее	7	2
85	тому что	2	2
86	думать что	2	2
87	та же	2	2
88	но здесь	3	2
89	к этому	2	2
90	прежде всего	2	2
91	к которой	2	2
92	и ее	2	2
93	в то	3	2
94	ни в	12	2
95	в ее	16	2
96	было бы	8	2
97	и эта	2	2
98	к ним	4	2
99	но для	2	2
100	и когда	2	2
101	в котором	24	2
102	и тем	3	2
103	ее как	2	2
104	со стороны	7	2
105	но конечно	3	2
106	вытекает из	2	2
107	не по	4	2
108	здесь не	3	2
109	уже не	7	2
110	но эта	5	2
111	мы здесь	2	2
112	что не	3	2
113	что этот	3	2
114	в основе	5	2
115	и на	3	2
116	во всем	7	2
117	его на	2	2
118	все эти	10	2
119	и это	12	2
120	конечно не	7	2
