N	2gram	Tiupa_Hudo_1	NovoeSre
1	а не	12	17
2	не может	7	16
3	и в	14	16
4	и не	2	11
5	что в	6	9
6	жизни и	5	8
7	он не	4	8
8	в том	12	8
9	как и	9	7
10	в этом	11	7
11	может быть	5	7
12	с его	5	6
13	никогда не	6	6
14	не знает	2	6
15	не в	7	6
16	лишь в	3	6
17	ни в	5	6
18	в нем	3	5
19	все это	2	5
20	с ее	2	5
21	и к	4	5
22	в ней	4	5
23	не только	12	5
24	не менее	5	4
25	то что	8	4
26	это не	7	4
27	и все	4	4
28	не было	4	4
29	быть может	7	4
30	не имеет	2	4
31	и для	3	4
32	должно быть	2	4
33	потому что	5	4
34	по своему	3	4
35	прежде всего	11	4
36	о том	12	4
37	и потому	2	4
38	к жизни	5	3
39	но и	5	3
40	в своей	10	3
41	жизни в	6	3
42	вопрос о	2	3
43	в духе	4	3
44	не означает	2	3
45	к тому	7	3
46	в мире	3	3
47	в ее	3	3
48	как в	8	3
49	она не	4	3
50	еще не	7	3
51	жизни как	2	2
52	каждого человека	2	2
53	себя в	4	2
54	у него	9	2
55	возвращается к	3	2
56	так и	13	2
57	что она	4	2
58	и от	4	2
59	а в	7	2
60	все эти	3	2
61	уже не	7	2
62	такой же	3	2
63	того чтобы	3	2
64	и даже	3	2
65	но не	3	2
66	ни к	2	2
67	мы не	2	2
68	том что	16	2
69	можно было	5	2
70	же как	2	2
71	одна из	2	2
72	и с	4	2
73	и что	2	2
74	с этим	3	2
75	и на	3	2
76	в себе	11	2
77	в то	8	2
78	как будто	4	2
79	и это	4	2
80	такого рода	3	2
81	не имеют	3	2
82	в центре	4	2
83	хотя и	2	2
84	но в	5	2
