N	2gram	Nazirov_Tv_2	Tragedij
1	и в	20	18
2	в романе	15	10
3	в году	16	9
4	в этом	8	9
5	в бесах	6	9
6	не только	13	8
7	он сам	3	7
8	и не	9	7
9	достоевский в	7	7
10	и на	5	7
11	и с	8	7
12	может быть	8	7
13	как бы	11	7
14	в образе	3	6
15	что он	6	6
16	и его	9	6
17	же время	7	6
18	у него	6	6
19	но в	4	6
20	все же	5	5
21	к жизни	2	5
22	так и	6	5
23	это не	7	5
24	не может	7	5
25	то же	7	5
26	а я	2	5
27	в дальнейшем	4	5
28	как и	6	5
29	у достоевского	30	5
30	в то	10	5
31	образ князя	4	4
32	но и	8	4
33	но достоевский	2	4
34	то что	3	4
35	в целом	6	4
36	что в	7	4
37	он всегда	2	4
38	все это	6	4
39	я не	2	4
40	прежде всего	8	4
41	в нем	3	4
42	и даже	5	4
43	так же	5	4
44	том что	4	4
45	но это	5	4
46	в этой	5	4
47	что я	2	4
48	и что	2	4
49	достоевский не	5	4
50	что достоевский	3	4
51	в себе	3	4
52	еще не	5	4
53	об этом	4	4
54	записках из	3	3
55	уже в	2	3
56	один из	3	3
57	достоевского в	9	3
58	романе идиот	3	3
59	отнюдь не	4	3
60	романа и	3	3
61	в конце	6	3
62	как в	4	3
63	все эти	4	3
64	тем самым	4	3
65	и он	2	3
66	в основном	6	3
67	в его	10	3
68	для него	3	3
69	при этом	8	3
70	и сам	5	3
71	своего рода	3	3
72	в мире	5	3
73	с ним	3	3
74	то есть	5	3
75	это был	3	2
76	в душе	4	2
77	и наказании	10	2
78	в силах	2	2
79	в частности	2	2
80	я буду	2	2
81	в отличие	2	2
82	права на	2	2
83	князь мышкин	6	2
84	романах достоевского	13	2
85	веру в	2	2
86	образе князя	2	2
87	в известной	4	2
88	по мнению	3	2
89	с иваном	2	2
90	романа достоевского	5	2
91	но эта	2	2
92	для достоевского	2	2
93	уже не	3	2
94	в преступлении	10	2
95	человеческой личности	2	2
96	роман достоевского	3	2
97	не так	2	2
98	в ее	2	2
99	в том	8	2
100	друг друга	2	2
101	отличие от	2	2
102	так что	2	2
103	в таком	3	2
104	не в	4	2
105	великий писатель	3	2
106	что этот	2	2
107	тут же	2	2
108	в рассказе	3	2
109	не случайно	2	2
110	в записках	3	2
111	одна из	3	2
112	потому что	7	2
113	тем что	3	2
114	в виде	2	2
115	и ее	2	2
116	как у	3	2
117	в письмах	3	2
118	ивана карамазова	8	2
119	xix веке	2	2
120	по словам	2	2
121	отказывается от	2	2
122	о том	5	2
123	преступлении и	11	2
124	его в	3	2
125	и это	3	2
126	в самом	3	2
127	о жизни	3	2
128	это уже	2	2
129	достоевским в	2	2
130	ничего не	4	2
131	он не	3	2
132	настасья филипповна	4	2
133	в одном	2	2
134	что она	4	2
135	никогда не	11	2
136	одном из	2	2
137	имеет в	2	2
