N	2gram	Tiupa_Anal_3	PoTuStor
1	может быть	9	17
2	и в	18	16
3	прежде всего	5	9
4	таким образом	4	9
5	в этом	14	9
6	мы можем	2	9
7	совершенно не	2	8
8	и его	13	8
9	точки зрения	3	8
10	не может	2	8
11	с его	8	7
12	сказать что	2	7
13	не только	22	7
14	и к	4	6
15	с точки	2	6
16	самом деле	2	6
17	для него	6	6
18	при этом	11	6
19	я и	3	6
20	все эти	2	5
21	нуждается в	2	5
22	еще не	6	5
23	как бы	10	5
24	в нем	2	4
25	отнюдь не	4	4
26	но и	13	4
27	так и	14	4
28	все это	3	4
29	и все	2	4
30	и не	12	4
31	и ее	2	4
32	можно сказать	4	4
33	и даже	8	4
34	и на	4	4
35	в этой	6	4
36	с ее	3	4
37	только в	2	4
38	его в	3	4
39	для всех	2	4
40	но в	2	4
41	в его	7	4
42	что в	9	3
43	во всех	2	3
44	могут быть	2	3
45	вместе с	2	3
46	в большинстве	2	3
47	отношения к	2	3
48	в одном	4	3
49	те же	2	3
50	и вот	2	3
51	крайней мере	4	3
52	в том	9	3
53	а в	10	3
54	том что	12	3
55	и как	4	3
56	с их	3	3
57	то что	2	3
58	по крайней	4	3
59	в общем	2	3
60	едва ли	3	3
61	мира и	2	3
62	как это	3	3
63	во всяком	2	3
64	в конечном	2	3
65	и потому	2	3
66	всяком случае	2	3
67	не менее	4	2
68	один из	2	2
69	что и	5	2
70	не есть	4	2
71	не будет	3	2
72	конечном счете	2	2
73	в частности	12	2
74	никогда не	5	2
75	что не	3	2
76	в них	2	2
77	того же	5	2
78	из этих	3	2
79	с этим	3	2
80	в жизни	2	2
81	в свое	2	2
82	то же	3	2
83	с нею	2	2
84	к этому	3	2
85	в итоге	4	2
86	сводится к	2	2
87	что он	4	2
88	мы не	3	2
89	и т.п	5	2
90	на два	2	2
91	что мы	2	2
92	и по	2	2
93	и для	2	2
94	нам кажется	2	2
95	как и	14	2
96	возникает в	2	2
97	путь к	3	2
98	по своему	2	2
99	он не	6	2
100	нашего времени	3	2
101	говорить о	3	2
102	в начале	6	2
103	в пределах	4	2
104	было бы	3	2
105	со всеми	2	2
106	о том	6	2
107	в самом	5	2
108	во сне	3	2
109	но как	3	2
