N	2gram	Voloshinov_2	OGranits
1	и в	19	13
2	и его	16	12
3	абстрактного объективизма	17	10
4	прежде всего	7	9
5	не может	18	8
6	и не	19	8
7	может быть	28	8
8	и их	4	7
9	и т.п	10	7
10	точки зрения	17	7
11	и пр	25	7
12	в его	5	7
13	таким образом	14	6
14	не только	13	6
15	социального общения	3	6
16	то что	4	6
17	только в	8	6
18	как бы	19	6
19	все же	5	5
20	с точки	13	5
21	языка и	15	5
22	и эта	2	5
23	но ведь	3	5
24	в материале	2	5
25	хотя бы	6	5
26	и т.д	4	5
27	в процессе	18	5
28	то же	16	4
29	не является	8	4
30	в своей	3	4
31	социальной группы	6	4
32	в двух	3	4
33	лишь в	14	4
34	мы не	2	4
35	мы можем	6	4
36	слов и	3	4
37	было бы	4	4
38	вполне понятно	4	4
39	но в	7	4
40	связана с	2	3
41	отношению к	8	3
42	что в	2	3
43	только путем	2	3
44	никогда не	7	3
45	но и	10	3
46	так и	10	3
47	в их	5	3
48	как системы	2	3
49	по отношению	8	3
50	не как	3	3
51	и все	6	3
52	точку зрения	2	3
53	здесь мы	3	3
54	самом деле	9	3
55	монологическое высказывание	11	3
56	языка как	9	3
57	в ее	3	3
58	да и	3	3
59	как и	9	3
60	не в	10	3
61	за пределы	3	3
62	и то	3	3
63	в пределах	10	3
64	экспрессивной интонации	2	3
65	одно и	3	3
66	в себе	4	3
67	с этим	3	3
68	и для	7	3
69	так как	3	3
70	но для	2	3
71	слово в	3	3
72	для себя	4	2
73	уже в	2	2
74	а как	4	2
75	самого начала	5	2
76	и тем	4	2
77	в нем	11	2
78	сознания и	3	2
79	изолированное монологическое	3	2
80	а не	9	2
81	высказывание и	2	2
82	в отношении	4	2
83	может стать	2	2
84	с другой	3	2
85	она является	3	2
86	от своего	2	2
87	в языке	7	2
88	не на	2	2
89	в связи	7	2
90	а в	3	2
91	эта динамика	2	2
92	жизненной речи	3	2
93	с одной	3	2
94	интонации в	3	2
95	все эти	3	2
96	вовсе не	11	2
97	или иного	2	2
98	конечно в	3	2
99	в тех	2	2
100	с самого	5	2
101	же слово	2	2
102	к тому	6	2
103	если бы	11	2
104	не имеет	3	2
105	оценка и	3	2
106	в том	7	2
107	так же	5	2
108	том что	10	2
109	в зависимости	2	2
110	с ними	4	2
111	с помощью	6	2
112	в данном	5	2
113	зависимости от	2	2
114	что они	2	2
115	в этом	15	2
116	от этого	2	2
117	учение о	3	2
118	тем что	2	2
119	между тем	6	2
120	и следовательно	6	2
121	могут быть	3	2
122	при этом	9	2
123	чем же	3	2
124	смысле слова	5	2
125	истории языка	3	2
126	и ее	4	2
127	для него	9	2
128	в другом	3	2
129	в языковом	3	2
130	более того	6	2
131	одной стороны	3	2
132	в жизненной	4	2
133	того или	2	2
134	мы уже	6	2
135	общения и	2	2
136	разрыв между	2	2
137	слова и	6	2
138	в самом	6	2
139	там где	2	2
140	бы в	4	2
141	в ней	3	2
142	иное как	2	2
143	и является	2	2
144	языковых форм	3	2
