N	2gram	Nazirov_Vr_1	Problema
1	то что	7	42
2	и в	8	32
3	и не	5	31
4	не менее	2	19
5	в этом	8	19
6	не только	9	17
7	в себе	2	15
8	как бы	4	14
9	может быть	4	14
10	но в	6	14
11	в нем	6	13
12	при помощи	2	13
13	как раз	2	13
14	что в	7	12
15	том что	3	12
16	и даже	6	11
17	о том	4	11
18	то же	5	10
19	в этой	2	10
20	отнюдь не	2	10
21	об этом	5	10
22	в том	3	9
23	но и	7	9
24	и что	8	9
25	так же	4	9
26	еще не	2	9
27	и это	2	9
28	на то	3	8
29	не может	2	8
30	и о	3	8
31	в своей	2	8
32	но это	2	8
33	и ее	2	8
34	никогда не	2	7
35	все это	4	7
36	в них	2	7
37	и все	7	7
38	что он	4	7
39	тем что	3	7
40	в конце	3	6
41	и как	3	6
42	при этом	4	6
43	в виду	4	6
44	таким образом	2	6
45	это не	4	6
46	но как	2	6
47	и то	2	6
48	его в	3	6
49	о чем	2	6
50	в то	5	6
51	в его	3	6
52	в своем	3	5
53	для нас	4	5
54	в котором	6	5
55	тем более	2	5
56	связи с	3	5
57	далеко не	3	5
58	после этого	2	4
59	не было	5	4
60	а в	2	4
61	их в	2	4
62	в истории	4	4
63	же в	2	4
64	а также	2	4
65	в связи	3	4
66	уже в	4	3
67	как же	2	3
68	несмотря на	4	3
69	и уже	3	3
70	из них	2	3
71	и его	3	3
72	но он	3	3
73	точки зрения	2	3
74	с ним	4	3
75	и во	3	3
76	как и	6	3
77	он не	3	3
78	о нем	6	3
79	уже не	2	3
80	с точки	2	3
81	в чем	3	3
82	он сам	2	2
83	имел в	3	2
84	же как	2	2
85	в это	2	2
86	для него	2	2
87	из подполья	3	2
88	в него	2	2
89	и с	6	2
90	между тем	5	2
91	с его	3	2
92	на первый	2	2
93	вместе с	2	2
94	что к	2	2
95	в эту	2	2
