N	2gram	Medvedev_U_1	Dialekti
1	не есть	2	47
2	и не	8	30
3	может быть	6	20
4	и в	14	19
5	не только	10	19
6	по себе	2	18
7	а не	10	16
8	в себе	2	15
9	то что	7	14
10	что она	2	14
11	в том	2	14
12	но и	4	12
13	то же	5	12
14	как и	3	10
15	том что	2	10
16	это не	3	10
17	по крайней	2	9
18	крайней мере	2	9
19	не может	7	9
20	прежде всего	8	8
21	не в	2	8
22	в этом	7	8
23	в своей	3	8
24	но это	2	7
25	и то	3	7
26	что он	2	6
27	в то	3	6
28	но не	2	6
29	конечно не	4	6
30	должна быть	2	5
31	с другой	4	5
32	же время	3	5
33	в самом	2	5
34	что и	2	5
35	как раз	2	5
36	только в	2	5
37	и с	2	5
38	не могут	2	4
39	как таковой	2	4
40	все же	3	4
41	хотя бы	5	4
42	все это	5	4
43	другой стороны	3	4
44	и только	5	4
45	таким образом	2	4
46	самом деле	2	4
47	могут быть	2	4
48	всех этих	2	3
49	о чем	2	3
50	в этой	4	3
51	было бы	3	3
52	или точнее	3	3
53	что такое	4	3
54	ничего не	2	3
55	же не	2	3
56	это было	2	3
57	это уже	2	2
58	в частности	3	2
59	в конце	2	2
60	в системе	2	2
61	в широком	2	2
62	очевидно что	3	2
63	до сих	2	2
64	в искусстве	6	2
65	только к	3	2
66	сих пор	2	2
67	в некоторых	2	2
68	в их	4	2
69	тех или	2	2
70	бы и	2	2
71	между тем	2	2
72	не как	3	2
73	тем что	2	2
74	мы получаем	2	2
75	что мы	2	2
76	же самое	2	2
77	к сожалению	3	2
78	в области	3	2
79	но в	3	2
