N	3gram	Bakhtin_Pr_1	Vvedenie
1	для того чтобы	2	20
2	о том что	2	12
3	в том что	7	12
4	не может быть	3	8
5	в этом смысле	9	8
6	то же время	7	6
7	в самом деле	2	6
8	в то же	7	6
9	до сих пор	2	6
10	с другой стороны	2	5
11	в данном случае	2	4
12	по крайней мере	2	4
13	можно было бы	3	4
14	само по себе	2	4
15	в этом отношении	5	4
16	и в этом	3	4
17	во всяком случае	3	4
18	по отношению к	11	4
19	можно сказать что	2	3
20	что может быть	2	3
21	но в то	2	3
22	заключается в том	2	3
23	в конце концов	4	2
24	с точки зрения	15	2
25	хотя бы и	2	2
26	как мы уже	2	2
27	подобно тому как	3	2
28	потому что он	2	2
