N	2gram	Bakhtin_Fr_1	Problema
1	и в	65	44
2	вовсе не	18	37
3	и не	22	35
4	то есть	45	34
5	может быть	6	28
6	потому что	5	25
7	не просто	3	23
8	то что	3	23
9	в том	16	21
10	только в	7	19
11	в этом	15	17
12	для нас	4	16
13	сказать что	6	16
14	даже и	3	16
15	и даже	8	14
16	не только	10	14
17	не в	4	13
18	той или	5	12
19	но в	14	12
20	том что	6	12
21	не является	3	11
22	но и	10	10
23	в виду	3	10
24	как и	5	10
25	так и	10	10
26	это не	3	9
27	и от	2	9
28	в нем	13	9
29	и с	3	9
30	как бы	22	9
31	так как	6	9
32	что он	3	9
33	в его	9	9
34	и это	2	9
35	что в	3	8
36	или иной	5	8
37	того что	2	8
38	что мы	2	8
39	но это	3	8
40	он не	2	8
41	как раз	3	8
42	как мы	6	8
43	в себе	3	8
44	связи с	4	8
45	и вообще	3	8
46	с другой	3	7
47	не может	3	7
48	уже не	3	7
49	еще и	5	7
50	все эти	10	7
51	здесь только	2	7
52	с ним	3	7
53	и потому	10	7
54	на самом	6	7
55	никогда не	6	6
56	можно сказать	2	6
57	в целом	2	6
58	жизни и	7	6
59	нет ничего	3	6
60	и к	4	6
61	о том	2	6
62	все же	6	6
63	или даже	2	5
64	да и	2	5
65	хотя и	2	5
66	в ней	6	5
67	все это	9	5
68	в своем	8	5
69	точки зрения	7	5
70	и здесь	3	5
71	значение и	2	5
72	в таком	2	5
73	еще не	6	5
74	за пределы	8	5
75	в своей	5	5
76	как в	5	5
77	только на	2	5
78	и его	10	5
79	при этом	6	4
80	совершенно не	4	4
81	ни с	2	4
82	образности и	3	4
83	и без	2	4
84	есть только	2	4
85	же деле	3	4
86	в искусстве	3	4
87	но как	3	4
88	раз и	2	4
89	самом же	3	4
90	мы уже	12	4
91	и вовсе	3	4
92	в ее	3	4
93	на этот	2	4
94	в чем	2	4
95	или в	2	4
96	дело в	2	4
97	и другие	8	3
98	это уже	4	3
99	формы и	7	3
100	прежде всего	11	3
101	в тех	3	3
102	к тому	2	3
103	но все	3	3
104	в этой	4	3
105	для него	5	3
106	кроме того	2	3
107	здесь и	4	3
108	в самом	4	3
109	вся эта	3	3
110	образов и	2	3
111	отношения к	2	3
112	но эта	2	3
113	и очень	2	3
114	ни на	2	3
115	его в	7	3
116	бы быть	2	3
117	и ни	3	3
118	ни к	2	3
119	в условиях	13	3
120	же в	2	3
121	но не	2	3
122	здесь в	8	3
123	в заключение	2	3
124	во всей	3	3
125	и все	5	3
126	в той	5	3
127	самом деле	3	3
128	отличие от	5	3
129	этот вопрос	2	3
130	в таких	2	3
131	есть в	5	3
132	ничего не	3	3
133	мы будем	3	2
134	в частности	5	2
135	в этих	2	2
136	в отношении	6	2
137	всех этих	8	2
138	в известной	3	2
139	до сих	4	2
140	на отдельные	2	2
141	искусства и	6	2
142	при таком	2	2
143	из них	4	2
144	и до	4	2
145	от того	2	2
146	в их	4	2
147	с одной	2	2
148	и по	2	2
149	друг друга	3	2
150	является здесь	2	2
151	в основе	8	2
152	он и	3	2
153	поэтому и	4	2
154	в самой	3	2
155	это в	4	2
156	на котором	3	2
157	и во	3	2
158	литературы и	5	2
159	от него	2	2
160	по своему	8	2
161	с их	5	2
162	между прочим	2	2
163	во всех	9	2
164	и искусства	4	2
165	и особенно	2	2
166	и именно	2	2
167	в процессе	2	2
168	сих пор	4	2
169	в отличие	4	2
170	этих образов	2	2
171	и у	6	2
172	и для	2	2
173	с точки	3	2
174	это можно	2	2
175	от всякого	2	2
176	мы и	3	2
177	но с	2	2
178	могут быть	2	2
179	к какому	2	2
180	разного рода	3	2
181	жизни но	2	2
182	это было	2	2
