N	2gram	Trubetskoy_1	Myslijsy
1	потому что	7	46
2	то есть	4	34
3	в том	11	32
4	и в	26	30
5	может быть	10	28
6	то же	4	23
7	не только	10	21
8	только в	4	21
9	но и	9	19
10	том что	7	18
11	то что	7	18
12	того что	3	18
13	что в	9	17
14	и проч	2	16
15	в себе	6	16
16	не в	2	15
17	и не	8	15
18	а не	5	15
19	таким образом	22	14
20	что и	6	13
21	так как	9	13
22	точно так	3	12
23	вместе с	15	12
24	а в	4	12
25	если бы	3	12
26	так и	6	11
27	что оно	4	11
28	и что	4	10
29	в этом	15	10
30	в то	4	10
31	из этих	10	9
32	для него	3	9
33	в нем	4	9
34	между тем	2	9
35	тогда когда	2	9
36	в самом	4	8
37	только что	2	8
38	что мы	2	8
39	с другой	8	7
40	к тому	6	7
41	так что	3	7
42	с тем	18	7
43	но не	8	7
44	с одной	7	7
45	что он	4	6
46	из них	7	6
47	те же	2	6
48	не может	4	6
49	уже не	3	6
50	не имеет	5	6
51	уже в	2	5
52	одно из	2	5
53	не могут	2	5
54	в них	2	5
55	по крайней	5	5
56	и как	3	5
57	же время	2	5
58	в своем	3	5
59	еще не	2	5
60	мысль о	2	5
61	крайней мере	5	5
62	отношению к	3	5
63	заключает в	2	5
64	не менее	3	5
65	по тому	2	5
66	как на	8	5
67	с другими	4	5
68	сказать что	2	5
69	что это	3	4
70	перестает быть	2	4
71	и от	4	4
72	мы видели	2	4
73	что именно	2	4
74	в смысле	4	4
75	все это	6	4
76	все что	2	4
77	в его	5	4
78	относится к	2	4
79	в котором	4	4
80	один из	2	4
81	не к	2	4
82	он не	4	4
83	не было	2	4
84	если не	2	4
85	для того	5	4
86	но вместе	2	4
87	и по	4	4
88	мы должны	6	4
89	далеко не	4	4
90	и это	2	4
91	и потому	6	4
92	и при	3	4
93	прежде всего	2	3
94	и все	2	3
95	что все	4	3
96	в образе	2	3
97	к этому	3	3
98	связь с	2	3
99	и вместе	4	3
100	тем не	3	3
101	именно в	2	3
102	более или	5	3
103	мы можем	2	3
104	в свою	2	3
105	до сих	5	3
106	можно сказать	3	3
107	одной стороны	7	3
108	при этом	3	3
109	вслед за	2	3
110	как бы	12	3
111	или менее	5	3
112	и тогда	4	3
113	в одно	2	3
114	тем и	2	3
115	того чтобы	5	3
116	к нему	7	3
117	в силу	5	3
118	так же	5	3
119	в таком	3	3
120	и на	2	3
121	образом в	5	3
122	к одной	2	3
123	в начале	2	3
124	в которой	3	3
125	сих пор	5	3
126	только не	2	2
127	во время	4	2
128	но все	7	2
129	из себя	2	2
130	связи с	9	2
131	так например	2	2
132	не как	2	2
133	в одном	3	2
134	на все	2	2
135	не всегда	2	2
136	на то	2	2
137	от них	2	2
138	отношение к	5	2
139	ему в	2	2
140	одной из	5	2
141	сознании и	2	2
142	в этой	4	2
143	можно только	2	2
144	по своему	2	2
145	как о	3	2
146	несмотря на	6	2
147	этого последнего	2	2
148	и если	3	2
149	не могла	2	2
150	и о	3	2
151	должно было	2	2
152	бы например	2	2
153	так или	3	2
154	в новом	2	2
155	все же	6	2
156	жизни и	2	2
157	то или	2	2
158	первое время	2	2
159	целый ряд	4	2
160	в других	3	2
161	в виде	4	2
162	в разных	2	2
163	а с	7	2
164	этом отношении	2	2
165	и наконец	2	2
166	и даже	3	2
167	в которых	4	2
168	с этой	3	2
169	людей и	2	2
170	точки зрения	13	2
171	и после	2	2
172	ничего общего	2	2
173	о том	6	2
174	в области	9	2
175	и с	10	2
176	из него	2	2
