N	2gram	Bakhtin_KF_1	Myslijsy
1	потому что	2	52
2	и в	24	39
3	может быть	45	27
4	в том	6	26
5	только в	16	25
6	что в	4	22
7	не может	27	22
8	а не	17	21
9	не только	5	21
10	в нем	28	20
11	но и	9	20
12	и не	26	18
13	том что	4	16
14	не в	12	15
15	в этом	14	15
16	если бы	8	14
17	отношению к	22	13
18	так и	2	13
19	по отношению	26	13
20	в себе	21	13
21	было бы	8	12
22	мы не	3	10
23	по себе	2	10
24	что не	3	10
25	не есть	20	10
26	то что	7	10
27	как в	2	10
28	могут быть	3	9
29	для нас	4	9
30	как и	5	9
31	тем что	3	9
32	тогда когда	3	9
33	но в	5	9
34	в одном	4	8
35	но не	12	8
36	со стороны	7	8
37	того что	3	8
38	точки зрения	12	8
39	должно быть	6	7
40	на язык	3	7
41	в ней	3	7
42	это не	10	7
43	не менее	3	6
44	независимо от	3	6
45	тем не	2	6
46	и как	2	6
47	еще не	4	6
48	как бы	9	6
49	что и	7	6
50	все же	5	6
51	бы не	3	6
52	то же	5	6
53	при этом	4	6
54	в каком	4	6
55	с тем	2	5
56	из себя	8	5
57	вовсе не	7	5
58	но это	6	5
59	и потому	2	5
60	в его	40	5
61	во всех	11	5
62	а в	4	5
63	и для	9	5
64	деятельности и	2	5
65	не имеет	5	5
66	и его	17	5
67	между тем	4	5
68	быть только	8	5
69	никогда не	5	4
70	тем самым	4	4
71	вопрос о	2	4
72	этом смысле	3	4
73	прежде всего	2	4
74	в свою	3	4
75	в смысле	6	4
76	от него	3	4
77	же время	2	4
78	для него	8	4
79	от того	3	4
80	в своих	3	4
81	в каждом	3	4
82	не по	4	4
83	бы быть	5	4
84	не было	8	4
85	и других	2	4
86	быть не	2	4
87	во всем	7	4
88	в то	3	4
89	там где	5	4
90	смысле в	2	4
91	что это	3	3
92	тому что	2	3
93	оно не	2	3
94	и это	12	3
95	бытия и	10	3
96	в жизни	2	3
97	думать что	2	3
98	из самого	2	3
99	в этой	2	3
100	в своем	16	3
101	в своей	10	3
102	и их	6	3
103	для того	3	3
104	для себя	5	3
105	и тем	3	3
106	в мире	6	3
107	были бы	2	3
108	то ни	2	3
109	с ним	5	3
110	должна быть	4	3
111	не из	2	3
112	и то	2	3
113	тем как	3	3
114	он не	6	3
115	в сознании	2	3
116	с точки	9	3
117	могло бы	4	3
118	и все	7	3
119	но как	5	3
120	слова в	2	2
121	могла бы	4	2
122	нисколько не	4	2
123	и есть	9	2
124	в единстве	7	2
125	к последнему	3	2
126	бы то	2	2
127	сознания в	2	2
128	только по	2	2
129	а как	2	2
130	в некотором	3	2
131	ни было	4	2
132	жизни и	8	2
133	уже не	7	2
134	но все	5	2
135	если не	2	2
136	не будет	2	2
137	теории и	3	2
138	и может	3	2
139	того чтобы	2	2
140	как предмет	2	2
141	ни одна	2	2
142	в виду	3	2
143	но всегда	2	2
144	чтобы не	2	2
145	для нее	7	2
146	не имеем	3	2
147	его с	2	2
148	с ее	2	2
149	в целом	10	2
150	в их	8	2
151	для этого	2	2
152	ничего общего	2	2
153	и только	6	2
154	времени и	4	2
155	и того	2	2
156	еще более	2	2
157	вытекает из	2	2
158	хотя бы	4	2
159	себя а	4	2
160	к ним	4	2
161	его к	2	2
162	его на	2	2
163	познания и	4	2
164	о том	3	2
165	дело в	2	2
166	не потому	2	2
167	из него	3	2
