N	2gram	Bakhtin_Pr_1	Poddanst
1	не только	13	17
2	и в	23	14
3	и не	34	12
4	в области	3	11
5	в отношении	2	10
6	в этом	25	10
7	то же	10	9
8	в том	11	9
9	но в	4	9
10	хотя бы	2	8
11	в пределах	9	8
12	же время	7	7
13	в то	10	7
14	только в	8	7
15	но и	11	6
16	в смысле	2	6
17	было бы	6	6
18	с другой	2	5
19	не в	6	5
20	в которых	2	5
21	отношении к	2	5
22	и о	3	5
23	может быть	21	5
24	же в	2	4
25	в котором	2	4
26	то что	18	4
27	что в	8	4
28	если бы	10	4
29	в своем	8	4
30	не может	11	4
31	по себе	7	4
32	и к	4	4
33	а в	7	4
34	том что	9	4
35	на пути	2	4
36	мы должны	2	4
37	как бы	28	4
38	и потому	3	4
39	сами по	3	3
40	в нем	20	3
41	это не	10	3
42	прежде всего	7	3
43	заключается в	2	3
44	для того	2	3
45	с точки	15	3
46	мы не	2	3
47	и как	8	3
48	между тем	5	3
49	но не	8	3
50	точки зрения	21	3
51	в себе	5	3
52	тот же	2	3
53	потому что	12	3
54	в сфере	2	2
55	творчества и	2	2
56	и тем	2	2
57	в мире	7	2
58	именно в	6	2
59	и есть	5	2
60	во всех	5	2
61	друг другу	2	2
62	в е	2	2
63	со стороны	2	2
64	в них	3	2
65	все это	7	2
66	во всей	2	2
67	как раз	4	2
68	не столько	3	2
69	отношения к	2	2
70	в жизни	6	2
71	и других	5	2
72	и вот	2	2
73	а не	20	2
74	того что	2	2
75	слова но	2	2
76	точек зрения	3	2
77	для нас	3	2
78	как на	2	2
79	говорить о	2	2
80	есть не	2	2
81	есть в	3	2
82	одна из	2	2
83	не было	3	2
84	из них	2	2
85	например в	3	2
86	и это	5	2
87	никак не	2	2
88	да и	2	2
89	что из	2	2
90	в его	24	2
91	и с	4	2
