N	2gram	Tiupa_Lite_2	Dialekti
1	и не	11	30
2	и т	2	21
3	и в	19	18
4	ничего не	3	17
5	может быть	17	17
6	точки зрения	4	17
7	в нем	3	16
8	так что	4	15
9	а не	20	14
10	потому что	2	14
11	что в	4	13
12	то что	7	13
13	не только	8	13
14	и даже	8	13
15	было бы	2	12
16	и что	2	12
17	с точки	3	12
18	в этом	9	12
19	не может	9	12
20	что он	3	11
21	как бы	2	11
22	в себе	6	11
23	так как	3	11
24	прежде всего	4	10
25	то же	12	10
26	никогда не	3	9
27	отнюдь не	4	9
28	в том	10	9
29	так и	7	9
30	том что	7	9
31	и то	3	9
32	но это	3	8
33	вовсе не	2	7
34	и как	3	7
35	то в	2	7
36	но и	10	7
37	что не	2	7
38	с другой	8	6
39	хотя бы	2	6
40	не было	2	6
41	не в	4	6
42	в то	9	6
43	с ним	2	6
44	но в	2	6
45	я не	5	5
46	в противоположность	2	5
47	себе не	2	5
48	не с	3	5
49	все же	2	5
50	и он	3	5
51	а в	3	5
52	и с	3	5
53	в виду	2	5
54	но лишь	3	4
55	по крайней	2	4
56	в конце	2	4
57	быть может	3	4
58	крайней мере	2	4
59	но не	5	4
60	же время	9	4
61	одно и	2	4
62	не могу	2	4
63	другой стороны	4	4
64	как раз	2	4
65	о том	2	4
66	как он	2	4
67	и жизни	3	4
68	как это	2	4
69	в них	2	3
70	все равно	2	3
71	не является	2	3
72	что и	2	3
73	вплоть до	3	3
74	что я	2	3
75	он не	5	3
76	в его	4	3
77	если в	2	3
78	даже в	4	3
79	один из	4	3
80	жизни и	4	3
81	к свету	2	3
82	но только	2	3
83	то как	2	3
84	мысли и	2	3
85	в их	3	3
86	но с	3	3
87	в данном	3	3
88	в основе	2	3
89	в ней	4	3
90	могут быть	2	3
91	даже и	2	3
92	и еще	2	3
93	на этом	2	2
94	не менее	6	2
95	того что	5	2
96	же как	2	2
97	тех кто	4	2
98	в частности	4	2
99	не знает	2	2
100	в качестве	5	2
101	с этой	2	2
102	в каждом	2	2
103	мы сами	2	2
104	в мире	9	2
105	ни было	2	2
106	как и	10	2
107	такой же	3	2
108	творчества как	2	2
109	для него	4	2
110	еще не	2	2
111	одной стороны	6	2
112	для того	2	2
113	себе и	3	2
114	в него	2	2
115	но уже	2	2
116	из них	2	2
117	со стороны	3	2
118	для этого	2	2
119	т п	2	2
120	этом отношении	3	2
121	с одной	7	2
122	из того	2	2
123	уже не	2	2
124	он на	2	2
125	и для	3	2
126	то и	3	2
127	он и	2	2
128	ко всему	2	2
129	но как	2	2
130	в другом	3	2
131	я в	7	2
