N	2gram	Bakhtin_Fr_2	StatiiOP
1	и в	49	25
2	в этом	15	24
3	в том	3	20
4	что в	2	19
5	что он	3	19
6	может быть	5	19
7	тем что	4	19
8	том что	4	15
9	в этой	10	14
10	в г	3	12
11	в его	18	12
12	то что	6	12
13	не только	17	12
14	в этих	4	11
15	прежде всего	19	10
16	таким образом	7	10
17	и не	15	10
18	у него	2	9
19	но и	13	9
20	все это	9	8
21	в своих	4	8
22	о том	3	8
23	что касается	2	7
24	было бы	3	7
25	не может	7	7
26	точки зрения	6	7
27	в то	6	7
28	место в	3	6
29	из этих	5	6
30	в конце	2	6
31	только в	13	6
32	как бы	11	6
33	как на	4	6
34	а в	4	6
35	и на	17	6
36	в области	4	6
37	то же	7	5
38	в них	13	5
39	с другой	4	5
40	на то	2	5
41	ни в	3	5
42	такого рода	2	5
43	связано с	2	5
44	и это	3	5
45	в году	13	5
46	другой стороны	3	5
47	так и	6	5
48	но в	4	5
49	в устах	2	4
50	этом отношении	3	4
51	всяком случае	2	4
52	и др	9	4
53	связана с	3	4
54	точка зрения	3	4
55	в жизни	4	4
56	это в	2	4
57	в смысле	2	4
58	как и	11	4
59	но это	2	4
60	в начале	5	4
61	на протяжении	7	4
62	в качестве	2	4
63	можно сказать	2	4
64	и к	4	4
65	на его	2	4
66	в ней	2	4
67	к ней	2	4
68	относится к	5	4
69	в своей	5	4
70	отношение к	8	4
71	связь с	3	4
72	в особенности	5	4
73	не было	4	4
74	в течение	3	4
75	лишь в	4	4
76	с точки	5	4
77	к нему	3	4
78	и с	6	4
79	сказать что	6	4
80	во всяком	2	4
81	все же	7	4
82	xix века	2	4
83	ничего не	2	4
84	в эту	5	4
85	уже в	5	3
86	с его	5	3
87	и более	4	3
88	во время	12	3
89	это произведение	2	3
90	нельзя сказать	2	3
91	же время	6	3
92	всех этих	3	3
93	он был	2	3
94	для него	9	3
95	до конца	2	3
96	одной стороны	3	3
97	несмотря на	3	3
98	все эти	7	3
99	в их	2	3
100	в связи	2	3
101	и его	17	3
102	что для	3	3
103	связан с	3	3
104	но он	6	3
105	в другом	2	3
106	связи с	2	3
107	так как	6	3
108	в творчестве	6	3
109	не был	3	2
110	это был	2	2
111	должен был	2	2
112	никогда не	5	2
113	точку зрения	2	2
114	но они	3	2
115	в предисловии	2	2
116	и во	4	2
117	одного из	2	2
118	в духе	4	2
119	вовсе не	10	2
120	как мы	7	2
121	без всякого	2	2
122	но все	4	2
123	что они	2	2
124	есть в	2	2
125	но не	5	2
126	времени и	6	2
127	до сих	4	2
128	своего времени	2	2
129	еще не	2	2
130	одной из	2	2
131	в самом	3	2
132	в сущности	8	2
133	во всех	6	2
134	xvii века	9	2
135	одна из	4	2
136	нужно сказать	3	2
137	в виду	3	2
138	один из	7	2
139	и за	2	2
140	вместе с	2	2
141	сих пор	4	2
142	ее в	2	2
143	в форме	4	2
144	до нас	8	2
145	в отношении	2	2
146	с ее	3	2
147	с одной	3	2
148	и других	3	2
149	мы находим	4	2
150	в произведениях	2	2
151	к этим	3	2
152	на основе	2	2
153	можно найти	2	2
154	могут быть	2	2
155	имеем в	2	2
156	эту эпоху	4	2
157	в плане	3	2
158	то есть	32	2
