N	2gram	Losev_Prob_3	formyVre
1	и в	44	46
2	в этом	17	22
3	прежде всего	3	14
4	и т	13	14
5	вовсе не	37	13
6	ii гл	2	12
7	и его	5	12
8	только в	19	11
9	не только	14	11
10	во всех	2	11
11	в том	21	10
12	как бы	9	10
13	точки зрения	5	10
14	то есть	34	10
15	но в	12	10
16	не в	13	9
17	мы уже	4	9
18	вместе с	2	9
19	но и	10	9
20	и не	35	9
21	и для	2	9
22	в связи	7	8
23	связи с	8	8
24	как и	10	8
25	в его	9	8
26	жизни и	6	8
27	то же	13	8
28	с точки	2	8
29	потому что	25	8
30	из них	2	8
31	всех этих	2	7
32	может быть	28	7
33	то что	23	7
34	так и	10	7
35	никогда не	6	6
36	и во	2	6
37	и все	3	6
38	при этом	4	6
39	как мы	8	6
40	здесь в	3	6
41	еще не	5	6
42	его в	3	6
43	все же	6	6
44	все это	5	6
45	в основе	2	6
46	так как	9	6
47	и с	9	6
48	в частности	2	5
49	в своем	5	5
50	с этим	2	5
51	по существу	2	5
52	в то	9	5
53	но не	3	5
54	он не	8	5
55	в нем	9	5
56	что в	8	5
57	все эти	7	5
58	и у	2	5
59	уже в	3	4
60	отнюдь не	10	4
61	с этой	3	4
62	с ним	7	4
63	значение и	5	4
64	же в	3	4
65	том что	12	4
66	так что	12	4
67	что они	5	4
68	есть и	2	4
69	в котором	2	4
70	как в	5	4
71	отношения к	3	4
72	человеческой жизни	2	4
73	а не	18	4
74	также и	16	4
75	в себе	8	4
76	о том	6	4
77	не было	5	3
78	мы будем	2	3
79	о чем	2	3
80	и идей	2	3
81	все они	2	3
82	не является	11	3
83	того же	2	3
84	к тому	3	3
85	на первый	4	3
86	что он	9	3
87	самое время	4	3
88	и как	3	3
89	это значит	4	3
90	тем более	3	3
91	в качестве	3	3
92	для него	3	3
93	кроме того	3	3
94	том как	2	3
95	хотя и	5	3
96	а также	4	3
97	что и	9	3
98	слова и	3	3
99	еще нет	2	3
100	на нас	2	3
101	она ни	2	3
102	т д	13	3
103	за счет	2	3
104	и другие	3	3
105	таким образом	9	3
106	в их	2	3
107	уже не	7	3
108	того что	8	3
109	и даже	14	3
110	и по	2	3
111	а в	5	3
112	жизнь и	2	3
113	в которых	3	3
114	тем что	4	3
115	в другом	2	3
116	же самое	9	3
117	в этих	2	3
118	в виду	10	3
119	не был	2	2
120	столько же	2	2
121	и более	2	2
122	по своему	2	2
123	и есть	5	2
124	друг от	2	2
125	говорить о	3	2
126	на котором	2	2
127	с другой	7	2
128	это не	9	2
129	вещи и	7	2
130	ни была	2	2
131	что все	2	2
132	первый план	2	2
133	ее и	2	2
134	по себе	25	2
135	или иной	8	2
136	человеческую жизнь	2	2
137	можно сказать	6	2
138	но эта	3	2
139	о его	2	2
140	в отношении	2	2
141	бы она	2	2
142	без всякого	3	2
143	в самой	2	2
144	именно в	2	2
145	у нас	10	2
146	в этой	3	2
147	с тем	5	2
148	совсем не	2	2
149	смысле слова	8	2
150	она не	3	2
151	было бы	8	2
152	и к	6	2
153	от друга	2	2
154	жизни а	3	2
155	и о	5	2
156	в заключение	3	2
157	ни для	2	2
158	и потому	7	2
159	жизни но	2	2
160	сих пор	2	2
161	мы видели	2	2
162	этом случае	5	2
163	для чего	2	2
164	быть и	3	2
165	и до	2	2
166	не может	7	2
167	здесь не	8	2
168	и только	6	2
169	если не	3	2
170	с одной	2	2
171	чем не	3	2
172	в той	3	2
173	бы нас	2	2
174	тем же	2	2
175	и всегда	2	2
176	так же	5	2
177	как на	2	2
178	у них	2	2
179	почти всегда	2	2
180	сами по	6	2
181	в данном	9	2
182	но это	8	2
183	то в	3	2
184	и от	9	2
185	мы имеем	2	2
186	могут быть	2	2
187	что здесь	5	2
188	в конце	5	2
189	и это	9	2
190	этих образов	2	2
191	как это	2	2
192	во всяком	9	2
193	значит что	7	2
194	до сих	2	2
