N	3gram	Tiupa_Vved_1	Analitik
1	о том что	4	6
2	в том что	3	6
3	в данном случае	6	5
4	с одной стороны	5	4
5	состоит в том	2	4
6	к тому же	4	4
7	по отношению к	7	4
8	той или иной	2	3
9	мы имеем дело	3	3
10	как и в	2	3
11	тем не менее	3	3
12	в этом отношении	4	3
13	подобно тому как	2	3
14	то же время	3	2
15	в отличие от	2	2
16	присутствия в мире	2	2
17	как правило не	2	2
18	в то же	4	2
19	не только в	2	2
20	можно было бы	2	2
21	в частности в	2	2
22	едва ли не	2	2
23	и тем самым	2	2
24	в соответствии с	6	2
