N	2gram	Tiupa_Disk_1	Tvorches
1	и в	16	20
2	в году	2	16
3	не только	28	13
4	никогда не	2	11
5	как бы	5	11
6	в его	7	10
7	таким образом	3	10
8	в то	3	10
9	и его	2	9
10	и не	11	9
11	прежде всего	11	8
12	в том	23	8
13	при этом	13	8
14	но и	14	8
15	может быть	17	8
16	в этом	15	8
17	это не	3	7
18	же время	4	7
19	что в	4	7
20	не может	9	7
21	то же	7	7
22	потому что	4	7
23	что он	4	6
24	как и	16	6
25	в целом	4	6
26	в своей	5	6
27	так и	8	6
28	именно в	3	6
29	а не	22	6
30	еще не	14	5
31	но не	11	5
32	например в	2	5
33	все же	3	5
34	и даже	3	5
35	и на	5	5
36	в этой	2	5
37	о том	8	5
38	то есть	20	5
39	об этом	2	4
40	в соответствии	2	4
41	том что	19	4
42	соответствии с	2	4
43	отнюдь не	8	4
44	на его	4	4
45	хотя и	2	4
46	когда он	2	4
47	как в	10	4
48	литературной традиции	3	4
49	героя в	2	4
50	в принципе	2	4
51	не в	7	4
52	а в	5	4
53	и потому	3	4
54	но в	8	4
55	а с	5	3
56	жизни в	2	3
57	в одной	3	3
58	к этому	2	3
59	но зато	2	3
60	отношению к	9	3
61	х годов	2	3
62	в античной	2	3
63	так например	2	3
64	для него	4	3
65	что не	4	3
66	одной из	4	3
67	своего рода	8	3
68	в самом	3	3
69	в котором	5	3
70	и др	2	3
71	не является	4	3
72	по сути	4	3
73	один из	3	3
74	в нем	9	3
75	то что	5	3
76	в их	5	3
77	по отношению	9	3
78	тогда как	19	3
79	человека в	2	3
80	уже не	4	3
81	сути дела	2	3
82	одним из	2	3
83	в современном	2	3
84	в рассказе	2	3
85	тем что	3	3
86	в своих	3	3
87	в которых	4	3
88	в себе	7	3
89	в начале	2	3
90	между тем	4	3
91	ни к	6	2
92	уже в	2	2
93	зависит от	2	2
94	бахтина о	2	2
95	не менее	2	2
96	по словам	2	2
97	и есть	2	2
98	и без	2	2
99	с другой	10	2
100	или даже	2	2
101	по крайней	2	2
102	в одном	2	2
103	во всяком	2	2
104	и ее	2	2
105	в литературе	2	2
106	крайней мере	2	2
107	в ее	3	2
108	тому же	5	2
109	более того	2	2
110	из жизни	3	2
111	в частности	9	2
112	точка зрения	2	2
113	себя в	2	2
114	наше время	2	2
115	в процессе	5	2
116	в истории	4	2
117	приводит к	2	2
118	в наше	2	2
119	в отличие	5	2
120	ли не	3	2
121	не было	7	2
122	сводится к	5	2
123	и что	2	2
124	другой стороны	3	2
125	и он	2	2
126	и по	2	2
127	роль в	7	2
128	на ранних	2	2
129	писателя в	2	2
130	в основе	7	2
131	из них	3	2
132	могут быть	4	2
133	он всегда	2	2
134	и вообще	2	2
135	только в	7	2
136	как правило	4	2
137	героя и	2	2
138	так сказать	2	2
139	едва ли	2	2
140	это прежде	3	2
141	отличие от	5	2
142	к которому	2	2
143	однако это	2	2
